terminal_name,locked,temporary,install_date,removal_date,place_id,common_name,installed
003451,false,false,1279198500000,,BikePoints_129,"Golden Square, Soho",true
001071,false,false,1279198800000,,BikePoints_130,"Tower Gardens , Tower",true
001005,false,false,1279199280000,,BikePoints_131,"Eversholt Street , Camden Town",true
000973,false,false,1279199520000,,BikePoints_132,"Bethnal Green Road, Shoreditch",true
003436,false,false,1279200240000,,BikePoints_133,"Derry Street, Kensington",true
001039,false,false,1279200900000,,BikePoints_134,"Wapping High Street, Wapping",true
001053,false,false,1279201080000,,BikePoints_135,"Clerkenwell Green, Clerkenwell",true
001048,false,false,1279201200000,,BikePoints_136,"Queen Victoria Street, St. Paul's",true
003464,false,false,1279205220000,,BikePoints_138,"Green Street, Mayfair",true
001078,false,false,1279205460000,,BikePoints_139,"Lambeth Road, Vauxhall",true
001056,false,false,1279205580000,,BikePoints_140,"Finsbury Square , Moorgate",true
001003,false,false,1279210980000,,BikePoints_141,"Chapel Place, Marylebone",true
001001,false,false,1279211220000,,BikePoints_142,"West Cromwell Road, Earl's Court",true
001114,false,false,1279211400000,,BikePoints_143,"Pont Street, Knightsbridge",true
001093,false,false,1279211580000,,BikePoints_144,"Kennington Cross, Kennington",true
001115,false,false,1279212180000,,BikePoints_145,"Ilchester Place, Kensington",true
001046,false,false,1279212360000,,BikePoints_146,"Vauxhall Bridge , Pimlico",true
000965,false,false,,,BikePoints_148,"Tachbrook Street, Victoria",true
001073,false,false,1279215360000,,BikePoints_149,"Kennington Road Post Office, Oval",true
001002,false,false,1279215540000,,BikePoints_150,"Holy Trinity Brompton, Knightsbridge",true
001120,false,false,1279215720000,,BikePoints_151,"Chepstow Villas, Notting Hill",true
001118,false,false,1279215900000,,BikePoints_152,"Hampton Street, Walworth",true
001096,false,false,1279216080000,,BikePoints_153,"Bayswater Road, Hyde Park",true
001072,false,false,,,BikePoints_154,"Waterloo Station 3, Waterloo",true
001121,false,false,1279272660000,,BikePoints_155,"Lexham Gardens, Kensington",true
000966,false,false,1279273080000,,BikePoints_156,"New Kent Road, The Borough",true
001094,false,false,1279273200000,,BikePoints_157,"Wright's Lane, Kensington",true
001113,false,false,1279273320000,,BikePoints_158,"Trebovir Road, Earl's Court",true
003478,false,false,1279286940000,,BikePoints_161,"Guildhouse Street, Victoria",true
001123,false,false,1279287120000,,BikePoints_162,"Southampton Place, Holborn",true
003461,false,false,1279287300000,,BikePoints_163,"Sloane Avenue, Knightsbridge",true
