terminal_name,install_date,temporary,place_id,common_name,locked,installed,removal_date
001224,1286796360000,false,BikePoints_352,"Vauxhall Street, Vauxhall",false,true,
010623,1287652080000,false,BikePoints_353,"Greycoat Street , Westminster",false,true,
001097,,false,BikePoints_354,"Northumberland Avenue, Strand",false,true,
002694,1287752460000,false,BikePoints_355,"Clapham Common Station, Clapham Common",false,true,
002685,1288009080000,false,BikePoints_356,"South Kensington Station, South Kensington",false,true,
002691,1288092420000,false,BikePoints_357,"Howland Street, Fitzrovia",false,true,
001229,1290079860000,false,BikePoints_358,"High Holborn , Covent Garden",false,true,
002662,1288950960000,false,BikePoints_359,"Butler Place, Westminster",false,true,
002666,1288958160000,false,BikePoints_360,"Howick Place, Westminster",false,true,
002692,1291902600000,false,BikePoints_361,"Waterloo Station 2, Waterloo",false,true,
002686,1290080220000,false,BikePoints_362,"Royal College Street, Camden Town",false,true,
002665,1289911800000,false,BikePoints_363,"Lord's, St. John's Wood",false,true,
003507,1290080640000,false,BikePoints_364,"Store Street, Bloomsbury",false,true,
002690,1290603600000,false,BikePoints_365,"City Road, Angel",false,true,
002680,,false,BikePoints_367,"Harrowby Street, Marylebone",false,true,
002681,1291201680000,false,BikePoints_368,"Harriet Street, Knightsbridge",false,true,
002670,1291647300000,false,BikePoints_370,"Paddington Green, Paddington",false,true,
002639,1291712820000,false,BikePoints_371,"King Edward Walk, Waterloo",false,true,
002649,1291713000000,false,BikePoints_372,"Sardinia Street, Holborn",false,true,
003499,1295428320000,false,BikePoints_373,"Prince Consort Road, Knightsbridge",false,true,
002696,1291725720000,false,BikePoints_374,"Waterloo Station 1, Waterloo",false,true,
010632,1291805820000,false,BikePoints_375,"Kensington Town Hall, Kensington",false,true,
002683,1294660980000,false,BikePoints_376,"Millbank Tower, Pimlico",false,true,
002648,1295265420000,false,BikePoints_377,"Waterloo Bridge, South Bank",false,true,
002677,1296121500000,false,BikePoints_378,"Natural History Museum, South Kensington",false,true,
002682,1296121680000,false,BikePoints_379,"Turquoise Island, Notting Hill",false,true,
003506,1296125400000,false,BikePoints_380,"Stanhope Gate, Mayfair",false,true,
002669,1296203760000,false,BikePoints_381,"Charlotte Street, Fitzrovia",false,true,
002678,1297159320000,false,BikePoints_382,"Farm Street, Mayfair",false,true,
002660,1296649200000,false,BikePoints_383,"Frith Street, Soho",false,true,
003505,1296731880000,false,BikePoints_384,"Marloes Road, Kensington",false,true,
003504,1296732540000,false,BikePoints_386,"Moor Street, Soho",false,true,
002703,1297077540000,false,BikePoints_387,"Fire Brigade Pier, Vauxhall",false,true,
001228,1297182180000,false,BikePoints_388,"Southampton Street, Strand",false,true,
010621,1297347960000,false,BikePoints_389,"Upper Grosvenor Street, Mayfair",false,true,
