removal_date,common_name,install_date,temporary,place_id,installed,locked,terminal_name
,"Park Road (Baker Street), The Regent's Park",1279119900000,false,BikePoints_114,true,false,001050
,"Braham Street, Aldgate",1279120680000,false,BikePoints_115,true,false,001062
,"Little Argyll Street, West End",1279122360000,false,BikePoints_116,true,false,000995
,"Lollard Street, Vauxhall",1279124220000,false,BikePoints_117,true,false,000998
,"Rochester Row, Westminster",1279124520000,false,BikePoints_118,true,false,003457
,"Bath Street, St. Luke's",1279124760000,false,BikePoints_119,true,false,000964
,"The Guildhall, Guildhall",1279187040000,false,BikePoints_120,true,false,001044
,"Baker Street, Marylebone",1279189200000,false,BikePoints_121,true,false,001086
,"Norton Folgate, Liverpool Street",1279190040000,false,BikePoints_122,true,false,001068
,"St. John Street, Finsbury",1279191300000,false,BikePoints_123,true,false,000992
,"Eaton Square, Belgravia",1279191540000,false,BikePoints_124,true,false,001069
,"Borough High Street, The Borough",1279192200000,false,BikePoints_125,true,false,000996
,"Museum of London, Barbican",1279193340000,false,BikePoints_126,true,false,001043
,"Wood Street, Guildhall",1279193520000,false,BikePoints_127,true,false,001063
,"Emperor's Gate, South Kensington",1279194060000,false,BikePoints_128,true,false,001116
,"Golden Square, Soho",1279198500000,false,BikePoints_129,true,false,003451
,"Tower Gardens , Tower",1279198800000,false,BikePoints_130,true,false,001071
,"Eversholt Street , Camden Town",1279199280000,false,BikePoints_131,true,false,001005
,"Bethnal Green Road, Shoreditch",1279199520000,false,BikePoints_132,true,false,000973
,"Derry Street, Kensington",1279200240000,false,BikePoints_133,true,false,003436
,"Wapping High Street, Wapping",1279200900000,false,BikePoints_134,true,false,001039
,"Clerkenwell Green, Clerkenwell",1279201080000,false,BikePoints_135,true,false,001053
,"Queen Victoria Street, St. Paul's",1279201200000,false,BikePoints_136,true,false,001048
,"Green Street, Mayfair",1279205220000,false,BikePoints_138,true,false,003464
,"Lambeth Road, Vauxhall",1279205460000,false,BikePoints_139,true,false,001078
,"Finsbury Square , Moorgate",1279205580000,false,BikePoints_140,true,false,001056
,"Chapel Place, Marylebone",1279210980000,false,BikePoints_141,true,false,001003
,"West Cromwell Road, Earl's Court",1279211220000,false,BikePoints_142,true,false,001001
,"Pont Street, Knightsbridge",1279211400000,false,BikePoints_143,true,false,001114
,"Kennington Cross, Kennington",1279211580000,false,BikePoints_144,true,false,001093
,"Ilchester Place, Kensington",1279212180000,false,BikePoints_145,true,false,001115
,"Vauxhall Bridge , Pimlico",1279212360000,false,BikePoints_146,true,false,001046
,"Tachbrook Street, Victoria",,false,BikePoints_148,true,false,000965
,"Kennington Road Post Office, Oval",1279215360000,false,BikePoints_149,true,false,001073
,"Holy Trinity Brompton, Knightsbridge",1279215540000,false,BikePoints_150,true,false,001002
,"Chepstow Villas, Notting Hill",1279215720000,false,BikePoints_151,true,false,001120
,"Hampton Street, Walworth",1279215900000,false,BikePoints_152,true,false,001118
,"Bayswater Road, Hyde Park",1279216080000,false,BikePoints_153,true,false,001096
,"Waterloo Station 3, Waterloo",,false,BikePoints_154,true,false,001072
,"Lexham Gardens, Kensington",1279272660000,false,BikePoints_155,true,false,001121
,"New Kent Road, The Borough",1279273080000,false,BikePoints_156,true,false,000966
,"Wright's Lane, Kensington",1279273200000,false,BikePoints_157,true,false,001094
,"Trebovir Road, Earl's Court",1279273320000,false,BikePoints_158,true,false,001113
,"Guildhouse Street, Victoria",1279286940000,false,BikePoints_161,true,false,003478
,"Southampton Place, Holborn",1279287120000,false,BikePoints_162,true,false,001123
,"Sloane Avenue, Knightsbridge",1279287300000,false,BikePoints_163,true,false,003461
,"Cleveland Gardens, Bayswater",1279287600000,false,BikePoints_164,true,false,001178
,"Orsett Terrace, Bayswater",1279287960000,false,BikePoints_165,true,false,002585
,"Seville Street, Knightsbridge",1279288140000,false,BikePoints_166,true,false,001177
,"Eccleston Place, Victoria",,false,BikePoints_167,true,false,003465
,"Argyll Road, Kensington",1279289400000,false,BikePoints_168,true,false,003463
,"Exhibition Road Museums 1, South Kensington",1319448720000,false,BikePoints_432,true,false,022158
,"Wren Street, Holborn",1323361560000,false,BikePoints_433,true,false,022169
,"Kennington Station, Kennington",1323346020000,false,BikePoints_435,true,false,022170
,"Red Lion Street, Holborn",1323350220000,false,BikePoints_436,true,false,022171
,"Vauxhall Walk, Vauxhall",1325746380000,false,BikePoints_437,true,false,200056
,"Killick Street, King's Cross",1325705460000,false,BikePoints_439,true,false,200053
,"Kennington Oval, Oval",1325708160000,false,BikePoints_440,true,false,200032
