common_name,temporary,removal_date,installed,install_date,locked,place_id,terminal_name
"Pembridge Villas, Notting Hill",false,,true,1280153100000,false,BikePoints_337,002589
"Wellington Street , Strand",false,,true,1280158740000,false,BikePoints_338,001202
"Risinghill Street, Angel",false,,true,1280160600000,false,BikePoints_339,001127
"Bank of England Museum, Bank",false,,true,1280248620000,false,BikePoints_340,001201
"Craven Street, Strand",false,,true,1280222160000,false,BikePoints_341,001160
"London Zoo Car Park, The Regent's Park",false,,true,1280224260000,false,BikePoints_343,001188
"Goswell Road (City Uni), Finsbury",false,,true,1280226120000,false,BikePoints_344,001222
"Flood Street, Chelsea",false,,true,1280229720000,false,BikePoints_345,001218
"Lower Marsh, Waterloo",false,,true,1283762460000,false,BikePoints_347,001219
"Grosvenor Square, Mayfair",false,,true,1284540540000,false,BikePoints_348,010627
"St. George Street, Mayfair",false,,true,1284543120000,false,BikePoints_349,001221
"Queen's Gate, Kensington Gardens",false,,true,1285756260000,false,BikePoints_350,001231
"Macclesfield Rd, St Lukes",false,,true,1286790480000,false,BikePoints_351,001226
"Vauxhall Street, Vauxhall",false,,true,1286796360000,false,BikePoints_352,001224
"Greycoat Street , Westminster",false,,true,1287652080000,false,BikePoints_353,010623
"Northumberland Avenue, Strand",false,,true,,false,BikePoints_354,001097
"Clapham Common Station, Clapham Common",false,,true,1287752460000,false,BikePoints_355,002694
"South Kensington Station, South Kensington",false,,true,1288009080000,false,BikePoints_356,002685
"Howland Street, Fitzrovia",false,,true,1288092420000,false,BikePoints_357,002691
"High Holborn , Covent Garden",false,,true,1290079860000,false,BikePoints_358,001229
"Butler Place, Westminster",false,,true,1288950960000,false,BikePoints_359,002662
"Howick Place, Westminster",false,,true,1288958160000,false,BikePoints_360,002666
"Waterloo Station 2, Waterloo",false,,true,1291902600000,false,BikePoints_361,002692
"Royal College Street, Camden Town",false,,true,1290080220000,false,BikePoints_362,002686
"Lord's, St. John's Wood",false,,true,1289911800000,false,BikePoints_363,002665
"Store Street, Bloomsbury",false,,true,1290080640000,false,BikePoints_364,003507
"City Road, Angel",false,,true,1290603600000,false,BikePoints_365,002690
"Harrowby Street, Marylebone",false,,true,,false,BikePoints_367,002680
"Harriet Street, Knightsbridge",false,,true,1291201680000,false,BikePoints_368,002681
"Paddington Green, Paddington",false,,true,1291647300000,false,BikePoints_370,002670
"King Edward Walk, Waterloo",false,,true,1291712820000,false,BikePoints_371,002639
"Sardinia Street, Holborn",false,,true,1291713000000,false,BikePoints_372,002649
"Prince Consort Road, Knightsbridge",false,,true,1295428320000,false,BikePoints_373,003499
"Waterloo Station 1, Waterloo",false,,true,1291725720000,false,BikePoints_374,002696
"Kensington Town Hall, Kensington",false,,true,1291805820000,false,BikePoints_375,010632
"Millbank Tower, Pimlico",false,,true,1294660980000,false,BikePoints_376,002683
"Waterloo Bridge, South Bank",false,,true,1295265420000,false,BikePoints_377,002648
"Natural History Museum, South Kensington",false,,true,1296121500000,false,BikePoints_378,002677
"Turquoise Island, Notting Hill",false,,true,1296121680000,false,BikePoints_379,002682
"Stanhope Gate, Mayfair",false,,true,1296125400000,false,BikePoints_380,003506
"Charlotte Street, Fitzrovia",false,,true,1296203760000,false,BikePoints_381,002669
"Farm Street, Mayfair",false,,true,1297159320000,false,BikePoints_382,002678
"Frith Street, Soho",false,,true,1296649200000,false,BikePoints_383,002660
"Marloes Road, Kensington",false,,true,1296731880000,false,BikePoints_384,003505
"Moor Street, Soho",false,,true,1296732540000,false,BikePoints_386,003504
"Fire Brigade Pier, Vauxhall",false,,true,1297077540000,false,BikePoints_387,002703
"Southampton Street, Strand",false,,true,1297182180000,false,BikePoints_388,001228
"Upper Grosvenor Street, Mayfair",false,,true,1297347960000,false,BikePoints_389,010621
"Buxton Street 1, Shoreditch",false,,true,1297764360000,false,BikePoints_390,001223
"Clifford Street, Mayfair",false,1539846000000,true,1297956480000,false,BikePoints_391,002688
"Imperial College, Knightsbridge",false,,true,1297958700000,false,BikePoints_392,001220
