locked,install_date,terminal_name,removal_date,place_id,temporary,common_name,installed
false,1287752460000,002694,,BikePoints_355,false,"Clapham Common Station, Clapham Common",true
false,1288009080000,002685,,BikePoints_356,false,"South Kensington Station, South Kensington",true
false,1288092420000,002691,,BikePoints_357,false,"Howland Street, Fitzrovia",true
false,1290079860000,001229,,BikePoints_358,false,"High Holborn , Covent Garden",true
false,1288950960000,002662,,BikePoints_359,false,"Butler Place, Westminster",true
false,1288958160000,002666,,BikePoints_360,false,"Howick Place, Westminster",true
false,1291902600000,002692,,BikePoints_361,false,"Waterloo Station 2, Waterloo",true
false,1290080220000,002686,,BikePoints_362,false,"Royal College Street, Camden Town",true
false,1289911800000,002665,,BikePoints_363,false,"Lord's, St. John's Wood",true
false,1290080640000,003507,,BikePoints_364,false,"Store Street, Bloomsbury",true
false,1290603600000,002690,,BikePoints_365,false,"City Road, Angel",true
false,,002680,,BikePoints_367,false,"Harrowby Street, Marylebone",true
false,1291201680000,002681,,BikePoints_368,false,"Harriet Street, Knightsbridge",true
false,1291647300000,002670,,BikePoints_370,false,"Paddington Green, Paddington",true
false,1291712820000,002639,,BikePoints_371,false,"King Edward Walk, Waterloo",true
false,1291713000000,002649,,BikePoints_372,false,"Sardinia Street, Holborn",true
false,1295428320000,003499,,BikePoints_373,false,"Prince Consort Road, Knightsbridge",true
false,1291725720000,002696,,BikePoints_374,false,"Waterloo Station 1, Waterloo",true
false,1291805820000,010632,,BikePoints_375,false,"Kensington Town Hall, Kensington",true
false,1294660980000,002683,,BikePoints_376,false,"Millbank Tower, Pimlico",true
false,1295265420000,002648,,BikePoints_377,false,"Waterloo Bridge, South Bank",true
false,1296121500000,002677,,BikePoints_378,false,"Natural History Museum, South Kensington",true
false,1296121680000,002682,,BikePoints_379,false,"Turquoise Island, Notting Hill",true
false,1296125400000,003506,,BikePoints_380,false,"Stanhope Gate, Mayfair",true
false,1296203760000,002669,,BikePoints_381,false,"Charlotte Street, Fitzrovia",true
false,1297159320000,002678,,BikePoints_382,false,"Farm Street, Mayfair",true
false,1296649200000,002660,,BikePoints_383,false,"Frith Street, Soho",true
false,1296731880000,003505,,BikePoints_384,false,"Marloes Road, Kensington",true
false,1296732540000,003504,,BikePoints_386,false,"Moor Street, Soho",true
false,1297077540000,002703,,BikePoints_387,false,"Fire Brigade Pier, Vauxhall",true
false,1297182180000,001228,,BikePoints_388,false,"Southampton Street, Strand",true
false,1297347960000,010621,,BikePoints_389,false,"Upper Grosvenor Street, Mayfair",true
