common_name,terminal_name,installed,install_date,locked,place_id,temporary,removal_date
"Crawford Street, Marylebone",001036,true,1278687720000,false,BikePoints_43,false,
"Bruton Street, Mayfair",001034,true,1278687900000,false,BikePoints_44,false,
"Boston Place, Marylebone",001035,true,1278691320000,false,BikePoints_45,false,
"Nesham Street, Wapping",001031,true,1278691800000,false,BikePoints_46,false,
"Warwick Avenue Station, Maida Vale",001027,true,1278749160000,false,BikePoints_47,false,
"Godliman Street, St. Paul's",000971,true,1278749460000,false,BikePoints_48,false,
"Curzon Street, Mayfair",003437,true,1278749940000,false,BikePoints_49,false,
"East Road, Hoxton",001054,true,1278750240000,false,BikePoints_50,false,
"Finsbury Library , Finsbury",000986,true,1278750540000,false,BikePoints_51,false,
"Roscoe Street, St. Luke's",001026,true,1278750840000,false,BikePoints_52,false,
"Golden Lane, Barbican",000967,true,1278766740000,false,BikePoints_54,false,
"Finsbury Circus, Liverpool Street",000984,true,1278766980000,false,BikePoints_55,false,
"Paddington Street, Marylebone",001033,true,1278767220000,false,BikePoints_56,false,
"Guilford Street , Bloomsbury",000974,true,1278767460000,false,BikePoints_57,false,
"New Inn Yard, Shoreditch",001032,true,1278767700000,false,BikePoints_58,false,
"Lisson Grove, St. John's Wood",001030,true,1278769140000,false,BikePoints_60,false,
"Great Dover Street, The Borough",001017,true,1278773820000,false,BikePoints_61,false,
"Cotton Garden Estate, Kennington",000990,true,1278773940000,false,BikePoints_62,false,
"Murray Grove , Hoxton",000989,true,1278774120000,false,BikePoints_63,false,
"William IV Street, Strand",001028,true,1278774300000,false,BikePoints_64,false,
"Holborn Circus, Holborn",000982,true,1278845280000,false,BikePoints_66,false,
"Hatton Garden, Holborn",000985,true,1278847440000,false,BikePoints_67,false,
"Theobald's Road , Holborn",000975,true,1278857040000,false,BikePoints_68,false,
"Euston Road, Euston",000983,true,1278861540000,false,BikePoints_69,false,
"Calshot Street , King's Cross",001066,true,1278863340000,false,BikePoints_70,false,
"Newgate Street , St. Paul's",001074,true,1278924900000,false,BikePoints_71,false,
"Farringdon Lane, Clerkenwell",003432,true,1276948860000,false,BikePoints_72,false,
"Old Street Station, St. Luke's",001064,true,1278941040000,false,BikePoints_73,false,
"Vauxhall Cross, Vauxhall",001000,true,1278941160000,false,BikePoints_74,false,
"Torrens Street, Angel",001060,true,1278945180000,false,BikePoints_75,false,
"Longford Street, The Regent's Park",000976,true,1278946560000,false,BikePoints_76,false,
"Russell Square Station, Bloomsbury",000978,true,1278946860000,false,BikePoints_77,false,
"Sadlers Sports Centre, Finsbury",003433,true,1278948480000,false,BikePoints_78,false,
"Arundel Street, Temple",003455,true,1509018360000,false,BikePoints_79,false,
"Webber Street , Southwark",003448,true,1278952440000,false,BikePoints_80,false,
"Great Titchfield Street, Fitzrovia",003450,true,1279012980000,false,BikePoints_81,false,
"Chancery Lane, Holborn",003453,true,1279015680000,false,BikePoints_82,false,
"Panton Street, West End",003452,true,1279015800000,false,BikePoints_83,false,
"Wellington Street , Strand",001202,true,1280158740000,false,BikePoints_338,false,
"Risinghill Street, Angel",001127,true,1280160600000,false,BikePoints_339,false,
"Bank of England Museum, Bank",001201,true,1280248620000,false,BikePoints_340,false,
"Craven Street, Strand",001160,true,1280222160000,false,BikePoints_341,false,
"London Zoo Car Park, The Regent's Park",001188,true,1280224260000,false,BikePoints_343,false,
"Goswell Road (City Uni), Finsbury",001222,true,1280226120000,false,BikePoints_344,false,
"Flood Street, Chelsea",001218,true,1280229720000,false,BikePoints_345,false,
"Lower Marsh, Waterloo",001219,true,1283762460000,false,BikePoints_347,false,
"Grosvenor Square, Mayfair",010627,true,1284540540000,false,BikePoints_348,false,
"St. George Street, Mayfair",001221,true,1284543120000,false,BikePoints_349,false,
"Queen's Gate, Kensington Gardens",001231,true,1285756260000,false,BikePoints_350,false,
"Macclesfield Rd, St Lukes",001226,true,1286790480000,false,BikePoints_351,false,
"Vauxhall Street, Vauxhall",001224,true,1286796360000,false,BikePoints_352,false,
"Greycoat Street , Westminster",010623,true,1287652080000,false,BikePoints_353,false,
"Northumberland Avenue, Strand",001097,true,,false,BikePoints_354,false,
"Clapham Common Station, Clapham Common",002694,true,1287752460000,false,BikePoints_355,false,
"South Kensington Station, South Kensington",002685,true,1288009080000,false,BikePoints_356,false,
"Howland Street, Fitzrovia",002691,true,1288092420000,false,BikePoints_357,false,
"High Holborn , Covent Garden",001229,true,1290079860000,false,BikePoints_358,false,
"Butler Place, Westminster",002662,true,1288950960000,false,BikePoints_359,false,
"Howick Place, Westminster",002666,true,1288958160000,false,BikePoints_360,false,
"Waterloo Station 2, Waterloo",002692,true,1291902600000,false,BikePoints_361,false,
"Royal College Street, Camden Town",002686,true,1290080220000,false,BikePoints_362,false,
"Lord's, St. John's Wood",002665,true,1289911800000,false,BikePoints_363,false,
"Store Street, Bloomsbury",003507,true,1290080640000,false,BikePoints_364,false,
"City Road, Angel",002690,true,1290603600000,false,BikePoints_365,false,
"Millennium Hotel, Mayfair",001230,true,1290686880000,false,BikePoints_366,false,
"Harrowby Street, Marylebone",002680,true,,false,BikePoints_367,false,
"Harriet Street, Knightsbridge",002681,true,1291201680000,false,BikePoints_368,false,
"Paddington Green, Paddington",002670,true,1291647300000,false,BikePoints_370,false,
"King Edward Walk, Waterloo",002639,true,1291712820000,false,BikePoints_371,false,
"Sardinia Street, Holborn",002649,true,1291713000000,false,BikePoints_372,false,
"Prince Consort Road, Knightsbridge",003499,true,1295428320000,false,BikePoints_373,false,
"Waterloo Station 1, Waterloo",002696,true,1291725720000,false,BikePoints_374,false,
"Kensington Town Hall, Kensington",010632,true,1291805820000,false,BikePoints_375,false,
"Millbank Tower, Pimlico",002683,true,1294660980000,false,BikePoints_376,false,
"Waterloo Bridge, South Bank",002648,true,1295265420000,false,BikePoints_377,false,
"Natural History Museum, South Kensington",002677,true,1296121500000,false,BikePoints_378,false,
"Turquoise Island, Notting Hill",002682,true,1296121680000,false,BikePoints_379,false,
"Stanhope Gate, Mayfair",003506,true,1296125400000,false,BikePoints_380,false,
"Charlotte Street, Fitzrovia",002669,true,1296203760000,false,BikePoints_381,false,
"Farm Street, Mayfair",002678,true,1297159320000,false,BikePoints_382,false,
"Frith Street, Soho",002660,true,1296649200000,false,BikePoints_383,false,
"Marloes Road, Kensington",003505,true,1296731880000,false,BikePoints_384,false,
"Moor Street, Soho",003504,true,1296732540000,false,BikePoints_386,false,
"Fire Brigade Pier, Vauxhall",002703,true,1297077540000,false,BikePoints_387,false,
"Southampton Street, Strand",001228,true,1297182180000,false,BikePoints_388,false,
"Upper Grosvenor Street, Mayfair",010621,true,1297347960000,false,BikePoints_389,false,
"Buxton Street 1, Shoreditch",001223,true,1297764360000,false,BikePoints_390,false,
"Clifford Street, Mayfair",002688,true,1297956480000,false,BikePoints_391,false,1539846000000
"Imperial College, Knightsbridge",001220,true,1297958700000,false,BikePoints_392,false,
"Snow Hill, Farringdon",002699,true,1298545440000,false,BikePoints_393,false,
"Aberdeen Place, St. John's Wood",002698,true,,false,BikePoints_394,false,
"Cadogan Gardens, Chelsea",002695,true,1298908800000,false,BikePoints_395,false,
