temporary,install_date,terminal_name,locked,common_name,installed,place_id,removal_date
false,1279099680000,001085,false,"Old Quebec Street, Marylebone",true,BikePoints_99,
false,1279099860000,001059,false,"Albert Embankment, Vauxhall",true,BikePoints_100,
false,1279102680000,000999,false,"Queen Street 1, Bank",true,BikePoints_101,
false,1279102860000,001045,false,"Jewry Street, Aldgate",true,BikePoints_102,
false,1279103520000,003441,false,"Vicarage Gate, Kensington",true,BikePoints_103,
false,1279103760000,000991,false,"Crosswall, Tower",true,BikePoints_104,
false,1279105320000,001041,false,"Westbourne Grove, Bayswater",true,BikePoints_105,
false,1279106880000,001042,false,"Woodstock Street, Mayfair",true,BikePoints_106,
false,1279107480000,001049,false,"Finsbury Leisure Centre, St. Luke's",true,BikePoints_107,
false,1279107720000,003429,false,"Abbey Orchard Street, Westminster",true,BikePoints_108,
false,1279108320000,001052,false,"Soho Square , Soho",true,BikePoints_109,
false,1279108920000,001055,false,"Wellington Road, St. John's Wood",true,BikePoints_110,
false,1279109160000,001037,false,"Park Lane , Hyde Park",true,BikePoints_111,
false,1279116600000,003435,false,"Gloucester Road (Central), South Kensington",true,BikePoints_113,
false,1279119900000,001050,false,"Park Road (Baker Street), The Regent's Park",true,BikePoints_114,
false,1279120680000,001062,false,"Braham Street, Aldgate",true,BikePoints_115,
false,1279122360000,000995,false,"Little Argyll Street, West End",true,BikePoints_116,
false,1279124220000,000998,false,"Lollard Street, Vauxhall",true,BikePoints_117,
false,1279124520000,003457,false,"Rochester Row, Westminster",true,BikePoints_118,
false,1279124760000,000964,false,"Bath Street, St. Luke's",true,BikePoints_119,
false,1279187040000,001044,false,"The Guildhall, Guildhall",true,BikePoints_120,
false,1279189200000,001086,false,"Baker Street, Marylebone",true,BikePoints_121,
false,1279190040000,001068,false,"Norton Folgate, Liverpool Street",true,BikePoints_122,
false,1279191300000,000992,false,"St. John Street, Finsbury",true,BikePoints_123,
false,1279191540000,001069,false,"Eaton Square, Belgravia",true,BikePoints_124,
false,1279192200000,000996,false,"Borough High Street, The Borough",true,BikePoints_125,
false,1279193340000,001043,false,"Museum of London, Barbican",true,BikePoints_126,
false,1279193520000,001063,false,"Wood Street, Guildhall",true,BikePoints_127,
false,1279194060000,001116,false,"Emperor's Gate, South Kensington",true,BikePoints_128,
false,1279198500000,003451,false,"Golden Square, Soho",true,BikePoints_129,
false,1279198800000,001071,false,"Tower Gardens , Tower",true,BikePoints_130,
false,1279199280000,001005,false,"Eversholt Street , Camden Town",true,BikePoints_131,
false,1279199520000,000973,false,"Bethnal Green Road, Shoreditch",true,BikePoints_132,
false,1279200240000,003436,false,"Derry Street, Kensington",true,BikePoints_133,
false,1279200900000,001039,false,"Wapping High Street, Wapping",true,BikePoints_134,
false,1279201080000,001053,false,"Clerkenwell Green, Clerkenwell",true,BikePoints_135,
false,1279201200000,001048,false,"Queen Victoria Street, St. Paul's",true,BikePoints_136,
false,1279205220000,003464,false,"Green Street, Mayfair",true,BikePoints_138,
false,1279205460000,001078,false,"Lambeth Road, Vauxhall",true,BikePoints_139,
false,1279205580000,001056,false,"Finsbury Square , Moorgate",true,BikePoints_140,
false,1279210980000,001003,false,"Chapel Place, Marylebone",true,BikePoints_141,
false,1279211220000,001001,false,"West Cromwell Road, Earl's Court",true,BikePoints_142,
false,1279211400000,001114,false,"Pont Street, Knightsbridge",true,BikePoints_143,
false,1279211580000,001093,false,"Kennington Cross, Kennington",true,BikePoints_144,
false,1279212180000,001115,false,"Ilchester Place, Kensington",true,BikePoints_145,
false,1279212360000,001046,false,"Vauxhall Bridge , Pimlico",true,BikePoints_146,
false,,000965,false,"Tachbrook Street, Victoria",true,BikePoints_148,
false,1279215360000,001073,false,"Kennington Road Post Office, Oval",true,BikePoints_149,
false,1279215540000,001002,false,"Holy Trinity Brompton, Knightsbridge",true,BikePoints_150,
false,1279215720000,001120,false,"Chepstow Villas, Notting Hill",true,BikePoints_151,
false,1279215900000,001118,false,"Hampton Street, Walworth",true,BikePoints_152,
false,1279216080000,001096,false,"Bayswater Road, Hyde Park",true,BikePoints_153,
false,,001072,false,"Waterloo Station 3, Waterloo",true,BikePoints_154,
false,1279272660000,001121,false,"Lexham Gardens, Kensington",true,BikePoints_155,
false,1279273080000,000966,false,"New Kent Road, The Borough",true,BikePoints_156,
false,1279273200000,001094,false,"Wright's Lane, Kensington",true,BikePoints_157,
false,1279273320000,001113,false,"Trebovir Road, Earl's Court",true,BikePoints_158,
false,1279274280000,003458,false,"Waterloo Place, St. James's",true,BikePoints_160,
false,1279286940000,003478,false,"Guildhouse Street, Victoria",true,BikePoints_161,
false,1279287120000,001123,false,"Southampton Place, Holborn",true,BikePoints_162,
false,1279287300000,003461,false,"Sloane Avenue, Knightsbridge",true,BikePoints_163,
false,1279287600000,001178,false,"Cleveland Gardens, Bayswater",true,BikePoints_164,
false,1279287960000,002585,false,"Orsett Terrace, Bayswater",true,BikePoints_165,
false,1279288140000,001177,false,"Seville Street, Knightsbridge",true,BikePoints_166,
false,,003465,false,"Eccleston Place, Victoria",true,BikePoints_167,
false,1279289400000,003463,false,"Argyll Road, Kensington",true,BikePoints_168,
false,1323350220000,022171,false,"Red Lion Street, Holborn",true,BikePoints_436,
false,1325746380000,200056,false,"Vauxhall Walk, Vauxhall",true,BikePoints_437,
false,1325705460000,200053,false,"Killick Street, King's Cross",true,BikePoints_439,
false,1325708160000,200032,false,"Kennington Oval, Oval",true,BikePoints_440,
false,1325711220000,200039,false,"Sail Street, Vauxhall",true,BikePoints_441,
false,1325940420000,200035,false,"Walmer Road, Avondale",true,BikePoints_442,
false,1325941800000,200033,false,"Philpot Street, Whitechapel",true,BikePoints_443,
false,1325944680000,200047,false,"Bethnal Green Garden, Bethnal Green",true,BikePoints_444,
false,1325945820000,200003,false,"Cheshire Street, Bethnal Green",true,BikePoints_445,
false,1325948880000,200042,false,"York Hall, Bethnal Green",true,BikePoints_446,
false,1325949000000,200054,false,"Jubilee Crescent, Cubitt Town",true,BikePoints_447,
false,1325952660000,022165,false,"Fisherman's Walk West, Canary Wharf",true,BikePoints_448,
false,1325952900000,200020,false,"Shadwell Station, Shadwell",true,BikePoints_449,
false,1326105240000,200002,false,"Jubilee Street, Stepney",true,BikePoints_450,
false,1325501400000,200021,false,"Hermitage Court, Wapping",true,BikePoints_451,
false,1326109140000,200049,false,"St. Katharine's Way, Tower",true,BikePoints_452,
false,1326111060000,200045,false,"Garnet Street, Shadwell",true,BikePoints_453,
false,1326115380000,200046,false,"Napier Avenue, Millwall",true,BikePoints_454,
false,1326117780000,200031,false,"East Ferry Road, Cubitt Town",true,BikePoints_455,
false,1326197580000,200118,false,"Parkway, Camden Town",true,BikePoints_456,
false,1326203280000,200016,false,"Castlehaven Road, Camden Town",true,BikePoints_457,
false,1326294780000,200034,false,"Wapping Lane, Wapping",true,BikePoints_458,
false,,200014,false,"Gunmakers Lane, Old Ford",true,BikePoints_459,
false,1326284820000,200123,false,"Burdett Road, Mile End",true,BikePoints_460,
true,1326293640000,200013,false,"Aston Street, Stepney",true,BikePoints_461,
false,1326294600000,200105,false,"Bonny Street, Camden Town",true,BikePoints_462,
false,,200093,false,"Thurtle Road, Haggerston",true,BikePoints_463,
false,1326304980000,200082,false,"St. Mary & St. Michael Church, Stepney",true,BikePoints_464,
false,1333613280000,200152,false,"Pitfield Street North,Hoxton",true,BikePoints_465,
false,1326360000000,200158,false,"Whiston Road, Haggerston",true,BikePoints_466,
false,1326374040000,200168,false,"Southern Grove, Bow",true,BikePoints_467,
false,1326375720000,200150,false,"Cantrell Road, Bow",true,BikePoints_468,
false,1326381060000,022178,false,"Lindfield Street, Poplar",true,BikePoints_469,
false,1326790620000,200174,false,"Mostyn Grove, Bow",true,BikePoints_470,
