installed,temporary,place_id,terminal_name,common_name,removal_date,locked,install_date
true,false,BikePoints_68,000975,"Theobald's Road , Holborn",,false,1278857040000
true,false,BikePoints_69,000983,"Euston Road, Euston",,false,1278861540000
true,false,BikePoints_70,001066,"Calshot Street , King's Cross",,false,1278863340000
true,false,BikePoints_71,001074,"Newgate Street , St. Paul's",,false,1278924900000
true,false,BikePoints_72,003432,"Farringdon Lane, Clerkenwell",,false,1276948860000
true,false,BikePoints_73,001064,"Old Street Station, St. Luke's",,false,1278941040000
true,false,BikePoints_74,001000,"Vauxhall Cross, Vauxhall",,false,1278941160000
true,false,BikePoints_75,001060,"Torrens Street, Angel",,false,1278945180000
true,false,BikePoints_76,000976,"Longford Street, The Regent's Park",,false,1278946560000
true,false,BikePoints_77,000978,"Russell Square Station, Bloomsbury",,false,1278946860000
true,false,BikePoints_78,003433,"Sadlers Sports Centre, Finsbury",,false,1278948480000
true,false,BikePoints_79,003455,"Arundel Street, Temple",,false,1509018360000
true,false,BikePoints_80,003448,"Webber Street , Southwark",,false,1278952440000
true,false,BikePoints_81,003450,"Great Titchfield Street, Fitzrovia",,false,1279012980000
true,false,BikePoints_82,003453,"Chancery Lane, Holborn",,false,1279015680000
true,false,BikePoints_83,003452,"Panton Street, West End",,false,1279015800000
true,false,BikePoints_84,003449,"Breams Buildings, Holborn",,false,1279020240000
true,false,BikePoints_338,001202,"Wellington Street , Strand",,false,1280158740000
true,false,BikePoints_339,001127,"Risinghill Street, Angel",,false,1280160600000
true,false,BikePoints_340,001201,"Bank of England Museum, Bank",,false,1280248620000
true,false,BikePoints_341,001160,"Craven Street, Strand",,false,1280222160000
true,false,BikePoints_343,001188,"London Zoo Car Park, The Regent's Park",,false,1280224260000
true,false,BikePoints_344,001222,"Goswell Road (City Uni), Finsbury",,false,1280226120000
true,false,BikePoints_345,001218,"Flood Street, Chelsea",,false,1280229720000
true,false,BikePoints_347,001219,"Lower Marsh, Waterloo",,false,1283762460000
true,false,BikePoints_348,010627,"Grosvenor Square, Mayfair",,false,1284540540000
true,false,BikePoints_349,001221,"St. George Street, Mayfair",,false,1284543120000
true,false,BikePoints_350,001231,"Queen's Gate, Kensington Gardens",,false,1285756260000
true,false,BikePoints_351,001226,"Macclesfield Rd, St Lukes",,false,1286790480000
true,false,BikePoints_352,001224,"Vauxhall Street, Vauxhall",,false,1286796360000
true,false,BikePoints_353,010623,"Greycoat Street , Westminster",,false,1287652080000
true,false,BikePoints_354,001097,"Northumberland Avenue, Strand",,false,
true,false,BikePoints_355,002694,"Clapham Common Station, Clapham Common",,false,1287752460000
true,false,BikePoints_356,002685,"South Kensington Station, South Kensington",,false,1288009080000
true,false,BikePoints_357,002691,"Howland Street, Fitzrovia",,false,1288092420000
true,false,BikePoints_358,001229,"High Holborn , Covent Garden",,false,1290079860000
true,false,BikePoints_359,002662,"Butler Place, Westminster",,false,1288950960000
true,false,BikePoints_360,002666,"Howick Place, Westminster",,false,1288958160000
true,false,BikePoints_361,002692,"Waterloo Station 2, Waterloo",,false,1291902600000
true,false,BikePoints_362,002686,"Royal College Street, Camden Town",,false,1290080220000
true,false,BikePoints_363,002665,"Lord's, St. John's Wood",,false,1289911800000
true,false,BikePoints_364,003507,"Store Street, Bloomsbury",,false,1290080640000
true,false,BikePoints_365,002690,"City Road, Angel",,false,1290603600000
true,false,BikePoints_367,002680,"Harrowby Street, Marylebone",,false,
true,false,BikePoints_368,002681,"Harriet Street, Knightsbridge",,false,1291201680000
true,false,BikePoints_370,002670,"Paddington Green, Paddington",,false,1291647300000
true,false,BikePoints_371,002639,"King Edward Walk, Waterloo",,false,1291712820000
true,false,BikePoints_372,002649,"Sardinia Street, Holborn",,false,1291713000000
true,false,BikePoints_373,003499,"Prince Consort Road, Knightsbridge",,false,1295428320000
true,false,BikePoints_374,002696,"Waterloo Station 1, Waterloo",,false,1291725720000
true,false,BikePoints_375,010632,"Kensington Town Hall, Kensington",,false,1291805820000
true,false,BikePoints_376,002683,"Millbank Tower, Pimlico",,false,1294660980000
true,false,BikePoints_377,002648,"Waterloo Bridge, South Bank",,false,1295265420000
true,false,BikePoints_378,002677,"Natural History Museum, South Kensington",,false,1296121500000
true,false,BikePoints_379,002682,"Turquoise Island, Notting Hill",,false,1296121680000
true,false,BikePoints_380,003506,"Stanhope Gate, Mayfair",,false,1296125400000
true,false,BikePoints_381,002669,"Charlotte Street, Fitzrovia",,false,1296203760000
true,false,BikePoints_382,002678,"Farm Street, Mayfair",,false,1297159320000
true,false,BikePoints_383,002660,"Frith Street, Soho",,false,1296649200000
true,false,BikePoints_384,003505,"Marloes Road, Kensington",,false,1296731880000
true,false,BikePoints_386,003504,"Moor Street, Soho",,false,1296732540000
true,false,BikePoints_387,002703,"Fire Brigade Pier, Vauxhall",,false,1297077540000
true,false,BikePoints_388,001228,"Southampton Street, Strand",,false,1297182180000
true,false,BikePoints_389,010621,"Upper Grosvenor Street, Mayfair",,false,1297347960000
true,false,BikePoints_390,001223,"Buxton Street 1, Shoreditch",,false,1297764360000
true,false,BikePoints_391,002688,"Clifford Street, Mayfair",1539846000000,false,1297956480000
true,false,BikePoints_392,001220,"Imperial College, Knightsbridge",,false,1297958700000
true,false,BikePoints_393,002699,"Snow Hill, Farringdon",,false,1298545440000
true,false,BikePoints_394,002698,"Aberdeen Place, St. John's Wood",,false,
true,false,BikePoints_395,002695,"Cadogan Gardens, Chelsea",,false,1298908800000
true,false,BikePoints_396,002693,"Shouldham Street, Marylebone",,false,1299075120000
true,false,BikePoints_397,001227,"Devonshire Terrace, Bayswater",,false,1299075900000
true,false,BikePoints_398,010631,"Holland Park, Kensington",,false,1299076440000
true,false,BikePoints_399,002687,"Brick Lane Market, Shoreditch",,false,1299582900000
true,false,BikePoints_400,001225,"George Street, Marylebone",,false,1299583260000
true,false,BikePoints_401,002701,"Columbia Road, Shoreditch",,false,1299592500000
true,false,BikePoints_402,010625,"Penfold Street, Marylebone",,false,1299592860000
true,false,BikePoints_403,010630,"George Place Mews, Marylebone",,false,1299593640000
true,false,BikePoints_404,001110,"Palace Gate, Kensington Gardens",,false,1299669180000
true,false,BikePoints_405,001107,"Gloucester Road Station, South Kensington",,false,1299669300000
true,false,BikePoints_408,001129,"Sun Street, Liverpool Street",,false,
true,false,BikePoints_409,010624,"Strata, Elephant & Castle",,false,
true,false,BikePoints_410,001058,"Edgware Road Station, Marylebone",,false,
true,false,BikePoints_411,010629,"Rotherhithe Roundabout, Rotherhithe",,false,
true,false,BikePoints_412,010628,"Cleaver Street, Kennington",,false,1302006180000
true,false,BikePoints_419,022160,"Chelsea Bridge, Pimlico",,false,1308735300000
true,false,BikePoints_420,022162,"Southwark Station 1, Southwark",,false,1309258380000
true,false,BikePoints_421,022163,"Southwark Station 2, Southwark",,false,1309258440000
true,false,BikePoints_423,022164,"Eaton Square (South), Belgravia",,false,1309860240000
true,false,BikePoints_424,022159,"Ebury Bridge, Pimlico",,false,1324551120000
true,false,BikePoints_426,022161,"Vincent Street, Pimlico",,false,1310463720000
true,false,BikePoints_427,022180,"Cheapside, Bank",,false,1310725680000
true,false,BikePoints_428,022179,"Exhibition Road, Knightsbridge",,false,1318496100000
true,false,BikePoints_430,022182,"South Parade, Chelsea",,false,1324549980000
true,false,BikePoints_431,022183,"Crinan Street, King's Cross",,false,1323355020000
true,false,BikePoints_432,022158,"Exhibition Road Museums 1, South Kensington",,false,1319448720000
true,false,BikePoints_433,022169,"Wren Street, Holborn",,false,1323361560000
true,false,BikePoints_698,200121,"Shoreditch Court, Haggerston",,false,1384254300000
true,false,BikePoints_699,200057,"Belford House, Haggerston",,false,1384256040000
true,false,BikePoints_700,200201,"Battersea Church Road, Battersea",,false,1384343280000
true,false,BikePoints_701,200077,"Vicarage Crescent, Battersea",,false,1384345080000
true,false,BikePoints_702,200213,"Durant Street, Bethnal Green",,false,1384345860000
true,false,BikePoints_703,200094,"St. Bride Street, Holborn",,false,1384357800000
true,false,BikePoints_704,200063,"Mexfield Road, East Putney",,false,1384443480000
true,true,BikePoints_705,300042,"Upper Richmond Road, Putney",1539845700000,false,1384453020000
true,false,BikePoints_706,200193,"Snowsfields, London Bridge",,false,1384420920000
true,false,BikePoints_707,200197,"Barons Court Station, West Kensington",,false,1384435680000
true,false,BikePoints_708,200217,"Disraeli Road, Putney",,false,1384530180000
true,false,BikePoints_709,200205,"Montserrat Road , Putney",,false,1384510140000
true,false,BikePoints_710,300045,"Albert Bridge Road, Battersea Park",,false,1384520580000
true,false,BikePoints_711,300028,"Everington Street, Fulham",,false,1384791540000
true,false,BikePoints_712,300056,"Mile End Stadium, Mile End",,false,1384797120000
true,false,BikePoints_713,200122,"Hawley Crescent, Camden Town",,false,1384774620000
true,false,BikePoints_714,300055,"Stewart's Road, Wandsworth Road",,false,1384865400000
true,false,BikePoints_715,300049,"Aylward Street, Stepney",,false,1384868460000
true,false,BikePoints_717,300024,"Dunston Road , Haggerston",,false,1384952400000
true,false,BikePoints_718,300040,"Ada Street, Hackney Central",,false,1384962840000
true,false,BikePoints_719,300011,"Victoria Park Road, Hackney Central",,false,1384968480000
true,false,BikePoints_720,300038,"Star Road, West Kensington",,false,1385025840000
true,false,BikePoints_721,300039,"Wendon Street, Old Ford",,false,1385028480000
true,false,BikePoints_722,300041,"Finnis Street, Bethnal Green",,false,1385028600000
true,false,BikePoints_723,300053,"Stephendale Road, Sands End",,false,1385035380000
true,false,BikePoints_724,300046,"Alma Road, Wandsworth",,false,1385125380000
true,false,BikePoints_725,300050,"Walworth Square, Walworth",,false,1563352500000
