removal_date,locked,install_date,place_id,temporary,common_name,installed,terminal_name
,false,1280226120000,BikePoints_344,false,"Goswell Road (City Uni), Finsbury",true,001222
,false,1280229720000,BikePoints_345,false,"Flood Street, Chelsea",true,001218
,false,1283762460000,BikePoints_347,false,"Lower Marsh, Waterloo",true,001219
,false,1284540540000,BikePoints_348,false,"Grosvenor Square, Mayfair",true,010627
,false,1284543120000,BikePoints_349,false,"St. George Street, Mayfair",true,001221
,false,1285756260000,BikePoints_350,false,"Queen's Gate, Kensington Gardens",true,001231
,false,1286790480000,BikePoints_351,false,"Macclesfield Rd, St Lukes",true,001226
,false,1286796360000,BikePoints_352,false,"Vauxhall Street, Vauxhall",true,001224
,false,1287652080000,BikePoints_353,false,"Greycoat Street , Westminster",true,010623
,false,,BikePoints_354,false,"Northumberland Avenue, Strand",true,001097
,false,1287752460000,BikePoints_355,false,"Clapham Common Station, Clapham Common",true,002694
,false,1288009080000,BikePoints_356,false,"South Kensington Station, South Kensington",true,002685
,false,1288092420000,BikePoints_357,false,"Howland Street, Fitzrovia",true,002691
,false,1290079860000,BikePoints_358,false,"High Holborn , Covent Garden",true,001229
,false,1288950960000,BikePoints_359,false,"Butler Place, Westminster",true,002662
,false,1288958160000,BikePoints_360,false,"Howick Place, Westminster",true,002666
,false,1291902600000,BikePoints_361,false,"Waterloo Station 2, Waterloo",true,002692
,false,1290080220000,BikePoints_362,false,"Royal College Street, Camden Town",true,002686
,false,1289911800000,BikePoints_363,false,"Lord's, St. John's Wood",true,002665
,false,1290080640000,BikePoints_364,false,"Store Street, Bloomsbury",true,003507
,false,1290603600000,BikePoints_365,false,"City Road, Angel",true,002690
,false,1290686880000,BikePoints_366,false,"Millennium Hotel, Mayfair",true,001230
,false,,BikePoints_367,false,"Harrowby Street, Marylebone",true,002680
,false,1291201680000,BikePoints_368,false,"Harriet Street, Knightsbridge",true,002681
,false,1291647300000,BikePoints_370,false,"Paddington Green, Paddington",true,002670
,false,1291712820000,BikePoints_371,false,"King Edward Walk, Waterloo",true,002639
,false,1291713000000,BikePoints_372,false,"Sardinia Street, Holborn",true,002649
,false,1295428320000,BikePoints_373,false,"Prince Consort Road, Knightsbridge",true,003499
,false,1291725720000,BikePoints_374,false,"Waterloo Station 1, Waterloo",true,002696
,false,1291805820000,BikePoints_375,false,"Kensington Town Hall, Kensington",true,010632
,false,1294660980000,BikePoints_376,false,"Millbank Tower, Pimlico",true,002683
,false,1295265420000,BikePoints_377,false,"Waterloo Bridge, South Bank",true,002648
,false,1296121500000,BikePoints_378,false,"Natural History Museum, South Kensington",true,002677
,false,1296121680000,BikePoints_379,false,"Turquoise Island, Notting Hill",true,002682
,false,1296125400000,BikePoints_380,false,"Stanhope Gate, Mayfair",true,003506
,false,1296203760000,BikePoints_381,false,"Charlotte Street, Fitzrovia",true,002669
,false,1297159320000,BikePoints_382,false,"Farm Street, Mayfair",true,002678
,false,1296649200000,BikePoints_383,false,"Frith Street, Soho",true,002660
,false,1296731880000,BikePoints_384,false,"Marloes Road, Kensington",true,003505
,false,1296732540000,BikePoints_386,false,"Moor Street, Soho",true,003504
,false,1297077540000,BikePoints_387,false,"Fire Brigade Pier, Vauxhall",true,002703
,false,1297182180000,BikePoints_388,false,"Southampton Street, Strand",true,001228
,false,1297347960000,BikePoints_389,false,"Upper Grosvenor Street, Mayfair",true,010621
,false,1297764360000,BikePoints_390,false,"Buxton Street 1, Shoreditch",true,001223
1539846000000,false,1297956480000,BikePoints_391,false,"Clifford Street, Mayfair",true,002688
,false,1297958700000,BikePoints_392,false,"Imperial College, Knightsbridge",true,001220
,false,1298545440000,BikePoints_393,false,"Snow Hill, Farringdon",true,002699
,false,,BikePoints_394,false,"Aberdeen Place, St. John's Wood",true,002698
,false,1298908800000,BikePoints_395,false,"Cadogan Gardens, Chelsea",true,002695
