locked,terminal_name,removal_date,installed,temporary,place_id,common_name,install_date
false,002586,,true,false,BikePoints_93,"Cloudesley Road, Angel",1279037760000
false,001070,,true,false,BikePoints_94,"Bricklayers Arms, Borough",1279038420000
false,001047,,true,false,BikePoints_96,"Falkirk Street, Hoxton",1279096980000
false,003447,,true,false,BikePoints_97,"Gloucester Road (North), Kensington",1279097580000
false,000972,,true,false,BikePoints_98,"Hampstead Road, Euston",1279099080000
false,001085,,true,false,BikePoints_99,"Old Quebec Street, Marylebone",1279099680000
false,001059,,true,false,BikePoints_100,"Albert Embankment, Vauxhall",1279099860000
false,000999,,true,false,BikePoints_101,"Queen Street 1, Bank",1279102680000
false,001045,,true,false,BikePoints_102,"Jewry Street, Aldgate",1279102860000
false,003441,,true,false,BikePoints_103,"Vicarage Gate, Kensington",1279103520000
false,000991,,true,false,BikePoints_104,"Crosswall, Tower",1279103760000
false,001041,,true,false,BikePoints_105,"Westbourne Grove, Bayswater",1279105320000
false,001042,,true,false,BikePoints_106,"Woodstock Street, Mayfair",1279106880000
false,001049,,true,false,BikePoints_107,"Finsbury Leisure Centre, St. Luke's",1279107480000
false,003429,,true,false,BikePoints_108,"Abbey Orchard Street, Westminster",1279107720000
false,001052,,true,false,BikePoints_109,"Soho Square , Soho",1279108320000
false,001055,,true,false,BikePoints_110,"Wellington Road, St. John's Wood",1279108920000
false,001037,,true,false,BikePoints_111,"Park Lane , Hyde Park",1279109160000
false,003435,,true,false,BikePoints_113,"Gloucester Road (Central), South Kensington",1279116600000
false,001050,,true,false,BikePoints_114,"Park Road (Baker Street), The Regent's Park",1279119900000
false,001062,,true,false,BikePoints_115,"Braham Street, Aldgate",1279120680000
false,000995,,true,false,BikePoints_116,"Little Argyll Street, West End",1279122360000
false,000998,,true,false,BikePoints_117,"Lollard Street, Vauxhall",1279124220000
false,003457,,true,false,BikePoints_118,"Rochester Row, Westminster",1279124520000
false,000964,,true,false,BikePoints_119,"Bath Street, St. Luke's",1279124760000
false,001044,,true,false,BikePoints_120,"The Guildhall, Guildhall",1279187040000
false,001086,,true,false,BikePoints_121,"Baker Street, Marylebone",1279189200000
false,001068,,true,false,BikePoints_122,"Norton Folgate, Liverpool Street",1279190040000
false,000992,,true,false,BikePoints_123,"St. John Street, Finsbury",1279191300000
false,001069,,true,false,BikePoints_124,"Eaton Square, Belgravia",1279191540000
false,000996,,true,false,BikePoints_125,"Borough High Street, The Borough",1279192200000
false,001043,,true,false,BikePoints_126,"Museum of London, Barbican",1279193340000
false,001063,,true,false,BikePoints_127,"Wood Street, Guildhall",1279193520000
false,001116,,true,false,BikePoints_128,"Emperor's Gate, South Kensington",1279194060000
false,003451,,true,false,BikePoints_129,"Golden Square, Soho",1279198500000
false,001071,,true,false,BikePoints_130,"Tower Gardens , Tower",1279198800000
false,001005,,true,false,BikePoints_131,"Eversholt Street , Camden Town",1279199280000
false,000973,,true,false,BikePoints_132,"Bethnal Green Road, Shoreditch",1279199520000
false,003436,,true,false,BikePoints_133,"Derry Street, Kensington",1279200240000
false,001039,,true,false,BikePoints_134,"Wapping High Street, Wapping",1279200900000
false,001053,,true,false,BikePoints_135,"Clerkenwell Green, Clerkenwell",1279201080000
false,001048,,true,false,BikePoints_136,"Queen Victoria Street, St. Paul's",1279201200000
false,003464,,true,false,BikePoints_138,"Green Street, Mayfair",1279205220000
false,001078,,true,false,BikePoints_139,"Lambeth Road, Vauxhall",1279205460000
false,001056,,true,false,BikePoints_140,"Finsbury Square , Moorgate",1279205580000
false,001003,,true,false,BikePoints_141,"Chapel Place, Marylebone",1279210980000
false,001001,,true,false,BikePoints_142,"West Cromwell Road, Earl's Court",1279211220000
false,001114,,true,false,BikePoints_143,"Pont Street, Knightsbridge",1279211400000
false,001093,,true,false,BikePoints_144,"Kennington Cross, Kennington",1279211580000
false,001115,,true,false,BikePoints_145,"Ilchester Place, Kensington",1279212180000
false,001046,,true,false,BikePoints_146,"Vauxhall Bridge , Pimlico",1279212360000
false,000965,,true,false,BikePoints_148,"Tachbrook Street, Victoria",
false,001073,,true,false,BikePoints_149,"Kennington Road Post Office, Oval",1279215360000
false,001002,,true,false,BikePoints_150,"Holy Trinity Brompton, Knightsbridge",1279215540000
false,001120,,true,false,BikePoints_151,"Chepstow Villas, Notting Hill",1279215720000
false,001118,,true,false,BikePoints_152,"Hampton Street, Walworth",1279215900000
false,001096,,true,false,BikePoints_153,"Bayswater Road, Hyde Park",1279216080000
false,001072,,true,false,BikePoints_154,"Waterloo Station 3, Waterloo",
false,001121,,true,false,BikePoints_155,"Lexham Gardens, Kensington",1279272660000
false,000966,,true,false,BikePoints_156,"New Kent Road, The Borough",1279273080000
false,001094,,true,false,BikePoints_157,"Wright's Lane, Kensington",1279273200000
false,001113,,true,false,BikePoints_158,"Trebovir Road, Earl's Court",1279273320000
false,003458,,true,false,BikePoints_160,"Waterloo Place, St. James's",1279274280000
false,003478,,true,false,BikePoints_161,"Guildhouse Street, Victoria",1279286940000
false,001123,,true,false,BikePoints_162,"Southampton Place, Holborn",1279287120000
false,003461,,true,false,BikePoints_163,"Sloane Avenue, Knightsbridge",1279287300000
false,001178,,true,false,BikePoints_164,"Cleveland Gardens, Bayswater",1279287600000
false,002585,,true,false,BikePoints_165,"Orsett Terrace, Bayswater",1279287960000
false,001177,,true,false,BikePoints_166,"Seville Street, Knightsbridge",1279288140000
false,003465,,true,false,BikePoints_167,"Eccleston Place, Victoria",
false,003463,,true,false,BikePoints_168,"Argyll Road, Kensington",1279289400000
false,022158,,true,false,BikePoints_432,"Exhibition Road Museums 1, South Kensington",1319448720000
false,022169,,true,false,BikePoints_433,"Wren Street, Holborn",1323361560000
false,022170,,true,false,BikePoints_435,"Kennington Station, Kennington",1323346020000
false,022171,,true,false,BikePoints_436,"Red Lion Street, Holborn",1323350220000
false,200056,,true,false,BikePoints_437,"Vauxhall Walk, Vauxhall",1325746380000
false,200053,,true,false,BikePoints_439,"Killick Street, King's Cross",1325705460000
false,200032,,true,false,BikePoints_440,"Kennington Oval, Oval",1325708160000
false,200039,,true,false,BikePoints_441,"Sail Street, Vauxhall",1325711220000
false,200035,,true,false,BikePoints_442,"Walmer Road, Avondale",1325940420000
false,200033,,true,false,BikePoints_443,"Philpot Street, Whitechapel",1325941800000
false,200047,,true,false,BikePoints_444,"Bethnal Green Garden, Bethnal Green",1325944680000
false,200003,,true,false,BikePoints_445,"Cheshire Street, Bethnal Green",1325945820000
false,200042,,true,false,BikePoints_446,"York Hall, Bethnal Green",1325948880000
false,200054,,true,false,BikePoints_447,"Jubilee Crescent, Cubitt Town",1325949000000
false,022165,,true,false,BikePoints_448,"Fisherman's Walk West, Canary Wharf",1325952660000
false,200020,,true,false,BikePoints_449,"Shadwell Station, Shadwell",1325952900000
false,200002,,true,false,BikePoints_450,"Jubilee Street, Stepney",1326105240000
false,200021,,true,false,BikePoints_451,"Hermitage Court, Wapping",1325501400000
false,200049,,true,false,BikePoints_452,"St. Katharine's Way, Tower",1326109140000
