common_name,terminal_name,removal_date,locked,temporary,place_id,installed,install_date
"Holy Trinity Brompton, Knightsbridge",001002,,false,false,BikePoints_150,true,1279215540000
"Hampton Street, Walworth",001118,,false,false,BikePoints_152,true,1279215900000
"Bayswater Road, Hyde Park",001096,,false,false,BikePoints_153,true,1279216080000
"Waterloo Station 3, Waterloo",001072,,false,false,BikePoints_154,true,
"Lexham Gardens, Kensington",001121,,false,false,BikePoints_155,true,1279272660000
"New Kent Road, The Borough",000966,,false,false,BikePoints_156,true,1279273080000
"Wright's Lane, Kensington",001094,,false,false,BikePoints_157,true,1279273200000
"Trebovir Road, Earl's Court",001113,,false,false,BikePoints_158,true,1279273320000
"Waterloo Place, St. James's",003458,,false,false,BikePoints_160,true,1279274280000
"Guildhouse Street, Victoria",003478,,false,false,BikePoints_161,true,1279286940000
"Southampton Place, Holborn",001123,,false,false,BikePoints_162,true,1279287120000
"Sloane Avenue, Knightsbridge",003461,,false,false,BikePoints_163,true,1279287300000
"Cleveland Gardens, Bayswater",001178,,false,false,BikePoints_164,true,1279287600000
"Orsett Terrace, Bayswater",002585,,false,false,BikePoints_165,true,1279287960000
"Seville Street, Knightsbridge",001177,,false,false,BikePoints_166,true,1279288140000
"Eccleston Place, Victoria",003465,,false,false,BikePoints_167,true,
"Argyll Road, Kensington",003463,,false,false,BikePoints_168,true,1279289400000
"Wren Street, Holborn",022169,,false,false,BikePoints_433,true,1323361560000
"Kennington Station, Kennington",022170,,false,false,BikePoints_435,true,1323346020000
"Red Lion Street, Holborn",022171,,false,false,BikePoints_436,true,1323350220000
"Vauxhall Walk, Vauxhall",200056,,false,false,BikePoints_437,true,1325746380000
"Killick Street, King's Cross",200053,,false,false,BikePoints_439,true,1325705460000
"Kennington Oval, Oval",200032,,false,false,BikePoints_440,true,1325708160000
"Sail Street, Vauxhall",200039,,false,false,BikePoints_441,true,1325711220000
"Walmer Road, Avondale",200035,,false,false,BikePoints_442,true,1325940420000
"Philpot Street, Whitechapel",200033,,false,false,BikePoints_443,true,1325941800000
"Bethnal Green Garden, Bethnal Green",200047,,false,false,BikePoints_444,true,1325944680000
"Cheshire Street, Bethnal Green",200003,,false,false,BikePoints_445,true,1325945820000
