temporary,common_name,terminal_name,place_id,installed,install_date,locked,removal_date
false,"Clapham Road, Lingham Street, Stockwell",300245,BikePoints_814,true,1464870060000,false,
false,"Lambeth Palace Road, Waterloo",300231,BikePoints_815,true,1462357680000,false,
false,"Here East South, Queen Elizabeth Olympic Park",300219,BikePoints_816,true,1489065360000,false,
false,"Riverlight South, Nine Elms",300232,BikePoints_817,true,1464949140000,false,
false,"Westminster Pier, Westminster",300249,BikePoints_818,true,1563958740000,false,
false,"Belvedere Road 2, South Bank",300246,BikePoints_819,true,1476360120000,false,
false,"Victory Place, Walworth",300239,BikePoints_820,true,1481807940000,false,
false,"Battersea Power Station, Battersea Park",300221,BikePoints_821,true,1487335920000,false,
false,"Allington Street, Victoria",300242,BikePoints_826,true,1500554880000,false,
false,"Cranmer Road, Stockwell",300247,BikePoints_827,true,1517788800000,false,
false,"Normandy Road, Stockwell",300225,BikePoints_828,true,1517788800000,false,
false,"Wynne Road, Stockwell",300230,BikePoints_829,true,1517443200000,false,
false,"Sidney Road, Stockwell",300229,BikePoints_830,true,1517961600000,false,
false,"St John's Crescent, Brixton",300215,BikePoints_831,true,1517961600000,false,
false,"Ferndale Road, Brixton",200240,BikePoints_832,true,1517961600000,false,
false,"Saltoun Road, Brixton",300206,BikePoints_833,true,1517875200000,false,
false,"Gas Holders, Battersea Park",300216,BikePoints_834,true,1529449200000,false,
false,"Farringdon Street, Holborn",300220,BikePoints_835,true,,false,
false,"York Way, Kings Cross",300235,BikePoints_836,true,,false,
false,"Fore Street Avenue, Guildhall",300222,BikePoints_838,true,1539254700000,false,
false,"Sea Containers, South Bank",200144,BikePoints_839,true,1544611140000,false,
false,"George Row, Bermondsey",002679,BikePoints_840,true,1599752640000,false,
false,"Tower Wharf, Bermondsey",002667,BikePoints_841,true,,false,
false,"Canada Water Station, Rotherhithe",300252,BikePoints_844,true,1608298140000,false,
false,"Bermondsey Station, Bermondsey",300253,BikePoints_845,true,1608303660000,false,
false,"River Street , Clerkenwell",001023,BikePoints_1,true,1278947280000,false,
false,"Phillimore Gardens, Kensington",001018,BikePoints_2,true,1278585780000,false,
false,"Christopher Street, Liverpool Street",001012,BikePoints_3,true,1278240360000,false,
false,"St. Chad's Street, King's Cross",001013,BikePoints_4,true,1278241080000,false,
false,"Sedding Street, Sloane Square",003420,BikePoints_5,true,1278241440000,false,
false,"Broadcasting House, Marylebone",003424,BikePoints_6,true,1278241680000,false,
false,"Charlbert Street, St. John's Wood",003422,BikePoints_7,true,1278241800000,false,
false,"Maida Vale, Maida Vale",003423,BikePoints_8,true,1540984560000,false,
false,"New Globe Walk, Bankside",001015,BikePoints_9,true,1278242340000,false,
