locked,temporary,installed,common_name,place_id,install_date,removal_date,terminal_name
false,false,true,"Abbey Orchard Street, Westminster",BikePoints_108,1279107720000,,003429
false,false,true,"Soho Square , Soho",BikePoints_109,1279108320000,,001052
false,false,true,"Wellington Road, St. John's Wood",BikePoints_110,1279108920000,,001055
false,false,true,"Park Lane , Hyde Park",BikePoints_111,1279109160000,,001037
false,false,true,"Gloucester Road (Central), South Kensington",BikePoints_113,1279116600000,,003435
false,false,true,"Park Road (Baker Street), The Regent's Park",BikePoints_114,1279119900000,,001050
false,false,true,"Braham Street, Aldgate",BikePoints_115,1279120680000,,001062
false,false,true,"Little Argyll Street, West End",BikePoints_116,1279122360000,,000995
false,false,true,"Lollard Street, Vauxhall",BikePoints_117,1279124220000,,000998
false,false,true,"Rochester Row, Westminster",BikePoints_118,1279124520000,,003457
false,false,true,"Bath Street, St. Luke's",BikePoints_119,1279124760000,,000964
false,false,true,"The Guildhall, Guildhall",BikePoints_120,1279187040000,,001044
false,false,true,"Baker Street, Marylebone",BikePoints_121,1279189200000,,001086
false,false,true,"Norton Folgate, Liverpool Street",BikePoints_122,1279190040000,,001068
false,false,true,"St. John Street, Finsbury",BikePoints_123,1279191300000,,000992
false,false,true,"Eaton Square, Belgravia",BikePoints_124,1279191540000,,001069
false,false,true,"Borough High Street, The Borough",BikePoints_125,1279192200000,,000996
false,false,true,"Museum of London, Barbican",BikePoints_126,1279193340000,,001043
false,false,true,"Wood Street, Guildhall",BikePoints_127,1279193520000,,001063
false,false,true,"Emperor's Gate, South Kensington",BikePoints_128,1279194060000,,001116
false,false,true,"Golden Square, Soho",BikePoints_129,1279198500000,,003451
false,false,true,"Tower Gardens , Tower",BikePoints_130,1279198800000,,001071
false,false,true,"Eversholt Street , Camden Town",BikePoints_131,1279199280000,,001005
false,false,true,"Bethnal Green Road, Shoreditch",BikePoints_132,1279199520000,,000973
false,false,true,"Derry Street, Kensington",BikePoints_133,1279200240000,,003436
false,false,true,"Wapping High Street, Wapping",BikePoints_134,1279200900000,,001039
false,false,true,"Clerkenwell Green, Clerkenwell",BikePoints_135,1279201080000,,001053
false,false,true,"Queen Victoria Street, St. Paul's",BikePoints_136,1279201200000,,001048
false,false,true,"Green Street, Mayfair",BikePoints_138,1279205220000,,003464
