terminal_name,installed,install_date,common_name,temporary,place_id,locked,removal_date
001160,true,1280222160000,"Craven Street, Strand",false,BikePoints_341,false,
001188,true,1280224260000,"London Zoo Car Park, The Regent's Park",false,BikePoints_343,false,
001222,true,1280226120000,"Goswell Road (City Uni), Finsbury",false,BikePoints_344,false,
001218,true,1280229720000,"Flood Street, Chelsea",false,BikePoints_345,false,
001219,true,1283762460000,"Lower Marsh, Waterloo",false,BikePoints_347,false,
010627,true,1284540540000,"Grosvenor Square, Mayfair",false,BikePoints_348,false,
001221,true,1284543120000,"St. George Street, Mayfair",false,BikePoints_349,false,
001231,true,1285756260000,"Queen's Gate, Kensington Gardens",false,BikePoints_350,false,
001226,true,1286790480000,"Macclesfield Rd, St Lukes",false,BikePoints_351,false,
001224,true,1286796360000,"Vauxhall Street, Vauxhall",false,BikePoints_352,false,
010623,true,1287652080000,"Greycoat Street , Westminster",false,BikePoints_353,false,
001097,true,,"Northumberland Avenue, Strand",false,BikePoints_354,false,
002694,true,1287752460000,"Clapham Common Station, Clapham Common",false,BikePoints_355,false,
002685,true,1288009080000,"South Kensington Station, South Kensington",false,BikePoints_356,false,
002691,true,1288092420000,"Howland Street, Fitzrovia",false,BikePoints_357,false,
001229,true,1290079860000,"High Holborn , Covent Garden",false,BikePoints_358,false,
002662,true,1288950960000,"Butler Place, Westminster",false,BikePoints_359,false,
002666,true,1288958160000,"Howick Place, Westminster",false,BikePoints_360,false,
002692,true,1291902600000,"Waterloo Station 2, Waterloo",false,BikePoints_361,false,
002686,true,1290080220000,"Royal College Street, Camden Town",false,BikePoints_362,false,
002665,true,1289911800000,"Lord's, St. John's Wood",false,BikePoints_363,false,
003507,true,1290080640000,"Store Street, Bloomsbury",false,BikePoints_364,false,
002690,true,1290603600000,"City Road, Angel",false,BikePoints_365,false,
002680,true,,"Harrowby Street, Marylebone",false,BikePoints_367,false,
002681,true,1291201680000,"Harriet Street, Knightsbridge",false,BikePoints_368,false,
002670,true,1291647300000,"Paddington Green, Paddington",false,BikePoints_370,false,
002639,true,1291712820000,"King Edward Walk, Waterloo",false,BikePoints_371,false,
002649,true,1291713000000,"Sardinia Street, Holborn",false,BikePoints_372,false,
003499,true,1295428320000,"Prince Consort Road, Knightsbridge",false,BikePoints_373,false,
002696,true,1291725720000,"Waterloo Station 1, Waterloo",false,BikePoints_374,false,
010632,true,1291805820000,"Kensington Town Hall, Kensington",false,BikePoints_375,false,
002683,true,1294660980000,"Millbank Tower, Pimlico",false,BikePoints_376,false,
002648,true,1295265420000,"Waterloo Bridge, South Bank",false,BikePoints_377,false,
002677,true,1296121500000,"Natural History Museum, South Kensington",false,BikePoints_378,false,
002682,true,1296121680000,"Turquoise Island, Notting Hill",false,BikePoints_379,false,
003506,true,1296125400000,"Stanhope Gate, Mayfair",false,BikePoints_380,false,
002669,true,1296203760000,"Charlotte Street, Fitzrovia",false,BikePoints_381,false,
002678,true,1297159320000,"Farm Street, Mayfair",false,BikePoints_382,false,
002660,true,1296649200000,"Frith Street, Soho",false,BikePoints_383,false,
003505,true,1296731880000,"Marloes Road, Kensington",false,BikePoints_384,false,
003504,true,1296732540000,"Moor Street, Soho",false,BikePoints_386,false,
002703,true,1297077540000,"Fire Brigade Pier, Vauxhall",false,BikePoints_387,false,
001228,true,1297182180000,"Southampton Street, Strand",false,BikePoints_388,false,
010621,true,1297347960000,"Upper Grosvenor Street, Mayfair",false,BikePoints_389,false,
001223,true,1297764360000,"Buxton Street 1, Shoreditch",false,BikePoints_390,false,
002688,true,1297956480000,"Clifford Street, Mayfair",false,BikePoints_391,false,1539846000000
