temporary,locked,removal_date,terminal_name,install_date,place_id,common_name,installed
false,false,,001177,1279288140000,BikePoints_166,"Seville Street, Knightsbridge",true
false,false,,003465,,BikePoints_167,"Eccleston Place, Victoria",true
false,false,,003463,1279289400000,BikePoints_168,"Argyll Road, Kensington",true
false,false,,003477,1279289760000,BikePoints_169,"Porchester Place, Paddington",true
false,false,,022170,1323346020000,BikePoints_435,"Kennington Station, Kennington",true
false,false,,022171,1323350220000,BikePoints_436,"Red Lion Street, Holborn",true
false,false,,200056,1325746380000,BikePoints_437,"Vauxhall Walk, Vauxhall",true
false,false,,200053,1325705460000,BikePoints_439,"Killick Street, King's Cross",true
false,false,,200032,1325708160000,BikePoints_440,"Kennington Oval, Oval",true
false,false,,200039,1325711220000,BikePoints_441,"Sail Street, Vauxhall",true
false,false,,200035,1325940420000,BikePoints_442,"Walmer Road, Avondale",true
false,false,,200033,1325941800000,BikePoints_443,"Philpot Street, Whitechapel",true
false,false,,200047,1325944680000,BikePoints_444,"Bethnal Green Garden, Bethnal Green",true
false,false,,200003,1325945820000,BikePoints_445,"Cheshire Street, Bethnal Green",true
false,false,,200042,1325948880000,BikePoints_446,"York Hall, Bethnal Green",true
false,false,,200054,1325949000000,BikePoints_447,"Jubilee Crescent, Cubitt Town",true
false,false,,022165,1325952660000,BikePoints_448,"Fisherman's Walk West, Canary Wharf",true
false,false,,200020,1325952900000,BikePoints_449,"Shadwell Station, Shadwell",true
false,false,,200002,1326105240000,BikePoints_450,"Jubilee Street, Stepney",true
false,false,,200021,1325501400000,BikePoints_451,"Hermitage Court, Wapping",true
false,false,,200049,1326109140000,BikePoints_452,"St. Katharine's Way, Tower",true
false,false,,200045,1326111060000,BikePoints_453,"Garnet Street, Shadwell",true
false,false,,200046,1326115380000,BikePoints_454,"Napier Avenue, Millwall",true
false,false,,200031,1326117780000,BikePoints_455,"East Ferry Road, Cubitt Town",true
false,false,,200118,1326197580000,BikePoints_456,"Parkway, Camden Town",true
false,false,,200016,1326203280000,BikePoints_457,"Castlehaven Road, Camden Town",true
false,false,,200034,1326294780000,BikePoints_458,"Wapping Lane, Wapping",true
false,false,,200014,,BikePoints_459,"Gunmakers Lane, Old Ford",true
false,false,,200123,1326284820000,BikePoints_460,"Burdett Road, Mile End",true
true,false,,200013,1326293640000,BikePoints_461,"Aston Street, Stepney",true
false,false,,200105,1326294600000,BikePoints_462,"Bonny Street, Camden Town",true
false,false,,200093,,BikePoints_463,"Thurtle Road, Haggerston",true
false,false,,200082,1326304980000,BikePoints_464,"St. Mary & St. Michael Church, Stepney",true
false,false,,200152,1333613280000,BikePoints_465,"Pitfield Street North,Hoxton",true
false,false,,200158,1326360000000,BikePoints_466,"Whiston Road, Haggerston",true
false,false,,200168,1326374040000,BikePoints_467,"Southern Grove, Bow",true
false,false,,200150,1326375720000,BikePoints_468,"Cantrell Road, Bow",true
false,false,,022178,1326381060000,BikePoints_469,"Lindfield Street, Poplar",true
false,false,,200174,1326790620000,BikePoints_470,"Mostyn Grove, Bow",true
false,false,,200006,1326790860000,BikePoints_471,"Hewison Street, Old Ford",true
