locked,common_name,install_date,temporary,place_id,terminal_name,removal_date,installed
false,"Clapham Common North Side, Clapham Common",1393494060000,false,BikePoints_768,300065,,true
false,"Sandilands Road, Walham Green",1393939560000,false,BikePoints_769,300001,,true
false,"Gwendwr Road, West Kensington",1394099280000,false,BikePoints_770,300097,,true
false,"Rifle Place, Avondale",1394018400000,false,BikePoints_771,300007,,true
false,"Binfield Road, Stockwell",1396442100000,false,BikePoints_772,300015,,true
false,"Tallis Street, Temple",1396262520000,false,BikePoints_773,300096,,true
false,"Hurlingham Park, Parsons Green",1396265880000,false,BikePoints_774,300098,,true
false,"Little Brook Green, Brook Green",1396270320000,false,BikePoints_775,300101,,true
false,"Abyssinia Close, Clapham Junction",1396273320000,false,BikePoints_776,300099,,true
false,"Limburg Road, Clapham Junction",1406282940000,false,BikePoints_777,300100,,true
false,"Houndsditch, Aldgate",1435313700000,false,BikePoints_779,200072,,true
false,"Imperial Wharf Station, Sands End",1439455200000,false,BikePoints_780,300070,,true
false,"Victoria & Albert Museum, South Kensington",1446485340000,false,BikePoints_781,300032,,true
false,"Tanner Street, Bermondsey",1279026060000,false,BikePoints_85,000994,,true
false,"Sancroft Street, Vauxhall",1279027140000,false,BikePoints_86,003434,,true
false,"Devonshire Square, Liverpool Street",1279027680000,false,BikePoints_87,003438,,true
false,"Bayley Street , Bloomsbury",1279028280000,false,BikePoints_88,001006,,true
false,"Tavistock Place, Bloomsbury",1279029360000,false,BikePoints_89,003439,,true
false,"Harrington Square 1, Camden Town",1279030020000,false,BikePoints_90,001038,,true
false,"Walnut Tree Walk, Vauxhall",1279036740000,false,BikePoints_91,001076,,true
false,"Borough Road, Elephant & Castle",1279037040000,false,BikePoints_92,001082,,true
false,"Cloudesley Road, Angel",1279037760000,false,BikePoints_93,002586,,true
false,"Bricklayers Arms, Borough",1279038420000,false,BikePoints_94,001070,,true
false,"Aldersgate Street, Barbican",1279096560000,false,BikePoints_95,001065,,true
false,"Falkirk Street, Hoxton",1279096980000,false,BikePoints_96,001047,,true
false,"Gloucester Road (North), Kensington",1279097580000,false,BikePoints_97,003447,,true
false,"Hampstead Road, Euston",1279099080000,false,BikePoints_98,000972,,true
false,"Old Quebec Street, Marylebone",1279099680000,false,BikePoints_99,001085,,true
false,"Albert Embankment, Vauxhall",1279099860000,false,BikePoints_100,001059,,true
false,"Queen Street 1, Bank",1279102680000,false,BikePoints_101,000999,,true
false,"Jewry Street, Aldgate",1279102860000,false,BikePoints_102,001045,,true
false,"Vicarage Gate, Kensington",1279103520000,false,BikePoints_103,003441,,true
false,"Crosswall, Tower",1279103760000,false,BikePoints_104,000991,,true
false,"Westbourne Grove, Bayswater",1279105320000,false,BikePoints_105,001041,,true
false,"Woodstock Street, Mayfair",1279106880000,false,BikePoints_106,001042,,true
false,"Finsbury Leisure Centre, St. Luke's",1279107480000,false,BikePoints_107,001049,,true
false,"Abbey Orchard Street, Westminster",1279107720000,false,BikePoints_108,003429,,true
false,"Soho Square , Soho",1279108320000,false,BikePoints_109,001052,,true
false,"Wellington Road, St. John's Wood",1279108920000,false,BikePoints_110,001055,,true
false,"Park Lane , Hyde Park",1279109160000,false,BikePoints_111,001037,,true
false,"Gloucester Road (Central), South Kensington",1279116600000,false,BikePoints_113,003435,,true
false,"Park Road (Baker Street), The Regent's Park",1279119900000,false,BikePoints_114,001050,,true
false,"Braham Street, Aldgate",1279120680000,false,BikePoints_115,001062,,true
false,"Little Argyll Street, West End",1279122360000,false,BikePoints_116,000995,,true
false,"Lollard Street, Vauxhall",1279124220000,false,BikePoints_117,000998,,true
false,"Rochester Row, Westminster",1279124520000,false,BikePoints_118,003457,,true
false,"Bath Street, St. Luke's",1279124760000,false,BikePoints_119,000964,,true
false,"The Guildhall, Guildhall",1279187040000,false,BikePoints_120,001044,,true
false,"Baker Street, Marylebone",1279189200000,false,BikePoints_121,001086,,true
false,"Norton Folgate, Liverpool Street",1279190040000,false,BikePoints_122,001068,,true
false,"St. John Street, Finsbury",1279191300000,false,BikePoints_123,000992,,true
false,"Eaton Square, Belgravia",1279191540000,false,BikePoints_124,001069,,true
false,"Borough High Street, The Borough",1279192200000,false,BikePoints_125,000996,,true
false,"Museum of London, Barbican",1279193340000,false,BikePoints_126,001043,,true
false,"Wood Street, Guildhall",1279193520000,false,BikePoints_127,001063,,true
false,"Emperor's Gate, South Kensington",1279194060000,false,BikePoints_128,001116,,true
false,"Golden Square, Soho",1279198500000,false,BikePoints_129,003451,,true
false,"Tower Gardens , Tower",1279198800000,false,BikePoints_130,001071,,true
false,"Eversholt Street , Camden Town",1279199280000,false,BikePoints_131,001005,,true
false,"Bethnal Green Road, Shoreditch",1279199520000,false,BikePoints_132,000973,,true
false,"Derry Street, Kensington",1279200240000,false,BikePoints_133,003436,,true
false,"Wapping High Street, Wapping",1279200900000,false,BikePoints_134,001039,,true
false,"Clerkenwell Green, Clerkenwell",1279201080000,false,BikePoints_135,001053,,true
false,"Queen Victoria Street, St. Paul's",1279201200000,false,BikePoints_136,001048,,true
false,"Green Street, Mayfair",1279205220000,false,BikePoints_138,003464,,true
false,"Lambeth Road, Vauxhall",1279205460000,false,BikePoints_139,001078,,true
false,"Finsbury Square , Moorgate",1279205580000,false,BikePoints_140,001056,,true
false,"Chapel Place, Marylebone",1279210980000,false,BikePoints_141,001003,,true
false,"West Cromwell Road, Earl's Court",1279211220000,false,BikePoints_142,001001,,true
false,"Pont Street, Knightsbridge",1279211400000,false,BikePoints_143,001114,,true
false,"Kennington Cross, Kennington",1279211580000,false,BikePoints_144,001093,,true
false,"Ilchester Place, Kensington",1279212180000,false,BikePoints_145,001115,,true
false,"Vauxhall Bridge , Pimlico",1279212360000,false,BikePoints_146,001046,,true
false,"Tachbrook Street, Victoria",,false,BikePoints_148,000965,,true
false,"Kennington Road Post Office, Oval",1279215360000,false,BikePoints_149,001073,,true
false,"Holy Trinity Brompton, Knightsbridge",1279215540000,false,BikePoints_150,001002,,true
false,"Chepstow Villas, Notting Hill",1279215720000,false,BikePoints_151,001120,,true
false,"Hampton Street, Walworth",1279215900000,false,BikePoints_152,001118,,true
false,"Bayswater Road, Hyde Park",1279216080000,false,BikePoints_153,001096,,true
false,"Waterloo Station 3, Waterloo",,false,BikePoints_154,001072,,true
false,"Lexham Gardens, Kensington",1279272660000,false,BikePoints_155,001121,,true
false,"New Kent Road, The Borough",1279273080000,false,BikePoints_156,000966,,true
false,"Wright's Lane, Kensington",1279273200000,false,BikePoints_157,001094,,true
false,"Trebovir Road, Earl's Court",1279273320000,false,BikePoints_158,001113,,true
false,"Waterloo Place, St. James's",1279274280000,false,BikePoints_160,003458,,true
false,"Guildhouse Street, Victoria",1279286940000,false,BikePoints_161,003478,,true
false,"Southampton Place, Holborn",1279287120000,false,BikePoints_162,001123,,true
false,"Sloane Avenue, Knightsbridge",1279287300000,false,BikePoints_163,003461,,true
false,"Cleveland Gardens, Bayswater",1279287600000,false,BikePoints_164,001178,,true
false,"Orsett Terrace, Bayswater",1279287960000,false,BikePoints_165,002585,,true
false,"Seville Street, Knightsbridge",1279288140000,false,BikePoints_166,001177,,true
