temporary,terminal_name,common_name,locked,place_id,install_date,installed,removal_date
false,000981,"British Museum, Bloomsbury",false,BikePoints_24,1278430140000,true,
false,001004,"Doric Way , Somers Town",false,BikePoints_25,1278433200000,true,
false,001019,"Ampton Street , Clerkenwell",false,BikePoints_26,1278434160000,true,
false,001021,"Bouverie Street, Temple",false,BikePoints_27,1278500160000,true,
false,001025,"Bolsover Street, Fitzrovia",false,BikePoints_28,1278500460000,true,
false,001016,"Hereford Road, Bayswater",false,BikePoints_29,1278501180000,true,
false,001029,"Windsor Terrace, Hoxton",false,BikePoints_30,1278501420000,true,
false,003427,"Fanshaw Street, Hoxton",false,BikePoints_31,1278501600000,true,
false,001020,"Leonard Circus , Shoreditch",false,BikePoints_32,1278506700000,true,
false,003430,"Central House, Aldgate",false,BikePoints_33,1278506940000,true,
false,003428,"Pancras Road, King's Cross",false,BikePoints_34,1278507060000,true,
false,003446,"De Vere Gardens, Kensington",false,BikePoints_36,1278519900000,true,
false,003444,"Penywern Road, Earl's Court",false,BikePoints_37,1278520020000,true,
false,003442,"Abingdon Villas, Kensington",false,BikePoints_38,1278584880000,true,
false,003445,"Shoreditch High Street, Shoreditch",false,BikePoints_39,1278601740000,true,
false,001083,"Commercial Street, Shoreditch",false,BikePoints_40,1278601980000,true,
false,001084,"Pindar Street, Liverpool Street",false,BikePoints_41,1278602280000,true,
false,000979,"Wenlock Road , Hoxton",false,BikePoints_42,1278602700000,true,
false,001036,"Crawford Street, Marylebone",false,BikePoints_43,1278687720000,true,
false,001034,"Bruton Street, Mayfair",false,BikePoints_44,1278687900000,true,
false,001035,"Boston Place, Marylebone",false,BikePoints_45,1278691320000,true,
false,001031,"Nesham Street, Wapping",false,BikePoints_46,1278691800000,true,
false,001027,"Warwick Avenue Station, Maida Vale",false,BikePoints_47,1278749160000,true,
false,000971,"Godliman Street, St. Paul's",false,BikePoints_48,1278749460000,true,
false,003437,"Curzon Street, Mayfair",false,BikePoints_49,1278749940000,true,
false,001054,"East Road, Hoxton",false,BikePoints_50,1278750240000,true,
false,000986,"Finsbury Library , Finsbury",false,BikePoints_51,1278750540000,true,
false,001026,"Roscoe Street, St. Luke's",false,BikePoints_52,1278750840000,true,
false,003431,"Grafton Street, Mayfair",false,BikePoints_53,1278752580000,true,
false,000967,"Golden Lane, Barbican",false,BikePoints_54,1278766740000,true,
false,000984,"Finsbury Circus, Liverpool Street",false,BikePoints_55,1278766980000,true,
false,001033,"Paddington Street, Marylebone",false,BikePoints_56,1278767220000,true,
false,000974,"Guilford Street , Bloomsbury",false,BikePoints_57,1278767460000,true,
false,001032,"New Inn Yard, Shoreditch",false,BikePoints_58,1278767700000,true,
false,001030,"Lisson Grove, St. John's Wood",false,BikePoints_60,1278769140000,true,
false,001017,"Great Dover Street, The Borough",false,BikePoints_61,1278773820000,true,
false,000990,"Cotton Garden Estate, Kennington",false,BikePoints_62,1278773940000,true,
false,000989,"Murray Grove , Hoxton",false,BikePoints_63,1278774120000,true,
false,001028,"William IV Street, Strand",false,BikePoints_64,1278774300000,true,
false,000982,"Holborn Circus, Holborn",false,BikePoints_66,1278845280000,true,
false,000985,"Hatton Garden, Holborn",false,BikePoints_67,1278847440000,true,
false,000975,"Theobald's Road , Holborn",false,BikePoints_68,1278857040000,true,
false,000983,"Euston Road, Euston",false,BikePoints_69,1278861540000,true,
false,001066,"Calshot Street , King's Cross",false,BikePoints_70,1278863340000,true,
false,001074,"Newgate Street , St. Paul's",false,BikePoints_71,1278924900000,true,
false,003432,"Farringdon Lane, Clerkenwell",false,BikePoints_72,1276948860000,true,
false,001064,"Old Street Station, St. Luke's",false,BikePoints_73,1278941040000,true,
false,001000,"Vauxhall Cross, Vauxhall",false,BikePoints_74,1278941160000,true,
false,001060,"Torrens Street, Angel",false,BikePoints_75,1278945180000,true,
false,000976,"Longford Street, The Regent's Park",false,BikePoints_76,1278946560000,true,
false,000978,"Russell Square Station, Bloomsbury",false,BikePoints_77,1278946860000,true,
false,003433,"Sadlers Sports Centre, Finsbury",false,BikePoints_78,1278948480000,true,
false,003455,"Arundel Street, Temple",false,BikePoints_79,1509018360000,true,
false,003448,"Webber Street , Southwark",false,BikePoints_80,1278952440000,true,
false,003450,"Great Titchfield Street, Fitzrovia",false,BikePoints_81,1279012980000,true,
false,003453,"Chancery Lane, Holborn",false,BikePoints_82,1279015680000,true,
false,003452,"Panton Street, West End",false,BikePoints_83,1279015800000,true,
false,003449,"Breams Buildings, Holborn",false,BikePoints_84,1279020240000,true,
false,001202,"Wellington Street , Strand",false,BikePoints_338,1280158740000,true,
false,001127,"Risinghill Street, Angel",false,BikePoints_339,1280160600000,true,
false,001201,"Bank of England Museum, Bank",false,BikePoints_340,1280248620000,true,
false,001160,"Craven Street, Strand",false,BikePoints_341,1280222160000,true,
false,001188,"London Zoo Car Park, The Regent's Park",false,BikePoints_343,1280224260000,true,
false,001222,"Goswell Road (City Uni), Finsbury",false,BikePoints_344,1280226120000,true,
false,001218,"Flood Street, Chelsea",false,BikePoints_345,1280229720000,true,
false,001219,"Lower Marsh, Waterloo",false,BikePoints_347,1283762460000,true,
false,010627,"Grosvenor Square, Mayfair",false,BikePoints_348,1284540540000,true,
false,001221,"St. George Street, Mayfair",false,BikePoints_349,1284543120000,true,
false,001231,"Queen's Gate, Kensington Gardens",false,BikePoints_350,1285756260000,true,
false,001226,"Macclesfield Rd, St Lukes",false,BikePoints_351,1286790480000,true,
false,001224,"Vauxhall Street, Vauxhall",false,BikePoints_352,1286796360000,true,
false,010623,"Greycoat Street , Westminster",false,BikePoints_353,1287652080000,true,
false,001097,"Northumberland Avenue, Strand",false,BikePoints_354,,true,
false,002694,"Clapham Common Station, Clapham Common",false,BikePoints_355,1287752460000,true,
false,002685,"South Kensington Station, South Kensington",false,BikePoints_356,1288009080000,true,
false,002691,"Howland Street, Fitzrovia",false,BikePoints_357,1288092420000,true,
false,001229,"High Holborn , Covent Garden",false,BikePoints_358,1290079860000,true,
false,002662,"Butler Place, Westminster",false,BikePoints_359,1288950960000,true,
false,002666,"Howick Place, Westminster",false,BikePoints_360,1288958160000,true,
false,002692,"Waterloo Station 2, Waterloo",false,BikePoints_361,1291902600000,true,
false,002686,"Royal College Street, Camden Town",false,BikePoints_362,1290080220000,true,
false,002665,"Lord's, St. John's Wood",false,BikePoints_363,1289911800000,true,
false,003507,"Store Street, Bloomsbury",false,BikePoints_364,1290080640000,true,
false,002690,"City Road, Angel",false,BikePoints_365,1290603600000,true,
false,001230,"Millennium Hotel, Mayfair",false,BikePoints_366,1290686880000,true,
false,002680,"Harrowby Street, Marylebone",false,BikePoints_367,,true,
false,002681,"Harriet Street, Knightsbridge",false,BikePoints_368,1291201680000,true,
false,002670,"Paddington Green, Paddington",false,BikePoints_370,1291647300000,true,
false,002639,"King Edward Walk, Waterloo",false,BikePoints_371,1291712820000,true,
false,002649,"Sardinia Street, Holborn",false,BikePoints_372,1291713000000,true,
false,003499,"Prince Consort Road, Knightsbridge",false,BikePoints_373,1295428320000,true,
false,002696,"Waterloo Station 1, Waterloo",false,BikePoints_374,1291725720000,true,
false,010632,"Kensington Town Hall, Kensington",false,BikePoints_375,1291805820000,true,
false,002683,"Millbank Tower, Pimlico",false,BikePoints_376,1294660980000,true,
false,002648,"Waterloo Bridge, South Bank",false,BikePoints_377,1295265420000,true,
false,002677,"Natural History Museum, South Kensington",false,BikePoints_378,1296121500000,true,
false,002682,"Turquoise Island, Notting Hill",false,BikePoints_379,1296121680000,true,
false,003506,"Stanhope Gate, Mayfair",false,BikePoints_380,1296125400000,true,
false,002669,"Charlotte Street, Fitzrovia",false,BikePoints_381,1296203760000,true,
false,002678,"Farm Street, Mayfair",false,BikePoints_382,1297159320000,true,
false,002660,"Frith Street, Soho",false,BikePoints_383,1296649200000,true,
false,003505,"Marloes Road, Kensington",false,BikePoints_384,1296731880000,true,
false,003504,"Moor Street, Soho",false,BikePoints_386,1296732540000,true,
false,002703,"Fire Brigade Pier, Vauxhall",false,BikePoints_387,1297077540000,true,
false,001228,"Southampton Street, Strand",false,BikePoints_388,1297182180000,true,
false,010621,"Upper Grosvenor Street, Mayfair",false,BikePoints_389,1297347960000,true,
false,001223,"Buxton Street 1, Shoreditch",false,BikePoints_390,1297764360000,true,
false,002688,"Clifford Street, Mayfair",false,BikePoints_391,1297956480000,true,1539846000000
false,001220,"Imperial College, Knightsbridge",false,BikePoints_392,1297958700000,true,
false,002699,"Snow Hill, Farringdon",false,BikePoints_393,1298545440000,true,
false,002698,"Aberdeen Place, St. John's Wood",false,BikePoints_394,,true,
false,002695,"Cadogan Gardens, Chelsea",false,BikePoints_395,1298908800000,true,
