place_id,terminal_name,temporary,common_name,installed,install_date,removal_date,locked
BikePoints_723,300053,false,"Stephendale Road, Sands End",true,1385035380000,,false
BikePoints_724,300046,false,"Alma Road, Wandsworth",true,1385125380000,,false
BikePoints_725,300050,false,"Walworth Square, Walworth",true,1563352500000,,false
BikePoints_726,300047,false,"Alfreda Street, Battersea Park",true,1385128740000,,false
BikePoints_727,300054,false,"Chesilton Road, Fulham",true,1385132160000,,false
BikePoints_728,300044,false,"Putney Bridge Road, East Putney",true,1385466780000,,false
BikePoints_729,300043,false,"St. Peter's Terrace, Fulham",true,1385391300000,,false
BikePoints_730,300082,false,"Bridge Avenue, Hammersmith",true,1385132580000,,false
BikePoints_86,003434,false,"Sancroft Street, Vauxhall",true,1279027140000,,false
BikePoints_87,003438,false,"Devonshire Square, Liverpool Street",true,1279027680000,,false
BikePoints_89,003439,false,"Tavistock Place, Bloomsbury",true,1279029360000,,false
BikePoints_90,001038,false,"Harrington Square 1, Camden Town",true,1279030020000,,false
BikePoints_93,002586,false,"Cloudesley Road, Angel",true,1279037760000,,false
BikePoints_95,001065,false,"Aldersgate Street, Barbican",true,1279096560000,,false
BikePoints_96,001047,false,"Falkirk Street, Hoxton",true,1279096980000,,false
BikePoints_97,003447,false,"Gloucester Road (North), Kensington",true,1279097580000,,false
BikePoints_101,000999,false,"Queen Street 1, Bank",true,1279102680000,,false
BikePoints_102,001045,false,"Jewry Street, Aldgate",true,1279102860000,,false
BikePoints_103,003441,false,"Vicarage Gate, Kensington",true,1279103520000,,false
BikePoints_104,000991,false,"Crosswall, Tower",true,1279103760000,,false
BikePoints_105,001041,false,"Westbourne Grove, Bayswater",true,1279105320000,,false
BikePoints_106,001042,false,"Woodstock Street, Mayfair",true,1279106880000,,false
BikePoints_107,001049,false,"Finsbury Leisure Centre, St. Luke's",true,1279107480000,,false
BikePoints_108,003429,false,"Abbey Orchard Street, Westminster",true,1279107720000,,false
BikePoints_109,001052,false,"Soho Square , Soho",true,1279108320000,,false
BikePoints_110,001055,false,"Wellington Road, St. John's Wood",true,1279108920000,,false
BikePoints_111,001037,false,"Park Lane , Hyde Park",true,1279109160000,,false
BikePoints_113,003435,false,"Gloucester Road (Central), South Kensington",true,1279116600000,,false
BikePoints_114,001050,false,"Park Road (Baker Street), The Regent's Park",true,1279119900000,,false
BikePoints_116,000995,false,"Little Argyll Street, West End",true,1279122360000,,false
BikePoints_118,003457,false,"Rochester Row, Westminster",true,1279124520000,,false
BikePoints_120,001044,false,"The Guildhall, Guildhall",true,1279187040000,,false
BikePoints_125,000996,false,"Borough High Street, The Borough",true,1279192200000,,false
