locked,temporary,install_date,installed,removal_date,common_name,place_id,terminal_name
false,false,1279015680000,true,,"Chancery Lane, Holborn",BikePoints_82,003453
false,false,1279015800000,true,,"Panton Street, West End",BikePoints_83,003452
false,false,1279020240000,true,,"Breams Buildings, Holborn",BikePoints_84,003449
false,false,1279026060000,true,,"Tanner Street, Bermondsey",BikePoints_85,000994
false,false,1280153100000,true,,"Pembridge Villas, Notting Hill",BikePoints_337,002589
false,false,1280158740000,true,,"Wellington Street , Strand",BikePoints_338,001202
false,false,1280160600000,true,,"Risinghill Street, Angel",BikePoints_339,001127
false,false,1280248620000,true,,"Bank of England Museum, Bank",BikePoints_340,001201
false,false,1280222160000,true,,"Craven Street, Strand",BikePoints_341,001160
false,false,1280224260000,true,,"London Zoo Car Park, The Regent's Park",BikePoints_343,001188
false,false,1280226120000,true,,"Goswell Road (City Uni), Finsbury",BikePoints_344,001222
false,false,1280229720000,true,,"Flood Street, Chelsea",BikePoints_345,001218
false,false,1283762460000,true,,"Lower Marsh, Waterloo",BikePoints_347,001219
false,false,1284540540000,true,,"Grosvenor Square, Mayfair",BikePoints_348,010627
false,false,1284543120000,true,,"St. George Street, Mayfair",BikePoints_349,001221
false,false,1285756260000,true,,"Queen's Gate, Kensington Gardens",BikePoints_350,001231
false,false,1286790480000,true,,"Macclesfield Rd, St Lukes",BikePoints_351,001226
false,false,1286796360000,true,,"Vauxhall Street, Vauxhall",BikePoints_352,001224
false,false,1287652080000,true,,"Greycoat Street , Westminster",BikePoints_353,010623
false,false,,true,,"Northumberland Avenue, Strand",BikePoints_354,001097
false,false,1287752460000,true,,"Clapham Common Station, Clapham Common",BikePoints_355,002694
false,false,1288009080000,true,,"South Kensington Station, South Kensington",BikePoints_356,002685
false,false,1288092420000,true,,"Howland Street, Fitzrovia",BikePoints_357,002691
false,false,1290079860000,true,,"High Holborn , Covent Garden",BikePoints_358,001229
false,false,1288950960000,true,,"Butler Place, Westminster",BikePoints_359,002662
false,false,1288958160000,true,,"Howick Place, Westminster",BikePoints_360,002666
false,false,1291902600000,true,,"Waterloo Station 2, Waterloo",BikePoints_361,002692
false,false,1290080220000,true,,"Royal College Street, Camden Town",BikePoints_362,002686
false,false,1289911800000,true,,"Lord's, St. John's Wood",BikePoints_363,002665
false,false,1290080640000,true,,"Store Street, Bloomsbury",BikePoints_364,003507
false,false,1290603600000,true,,"City Road, Angel",BikePoints_365,002690
false,false,,true,,"Harrowby Street, Marylebone",BikePoints_367,002680
false,false,1291201680000,true,,"Harriet Street, Knightsbridge",BikePoints_368,002681
false,false,1291647300000,true,,"Paddington Green, Paddington",BikePoints_370,002670
false,false,1291712820000,true,,"King Edward Walk, Waterloo",BikePoints_371,002639
false,false,1291713000000,true,,"Sardinia Street, Holborn",BikePoints_372,002649
false,false,1295428320000,true,,"Prince Consort Road, Knightsbridge",BikePoints_373,003499
false,false,1291725720000,true,,"Waterloo Station 1, Waterloo",BikePoints_374,002696
false,false,1291805820000,true,,"Kensington Town Hall, Kensington",BikePoints_375,010632
false,false,1294660980000,true,,"Millbank Tower, Pimlico",BikePoints_376,002683
false,false,1295265420000,true,,"Waterloo Bridge, South Bank",BikePoints_377,002648
false,false,1296121500000,true,,"Natural History Museum, South Kensington",BikePoints_378,002677
false,false,1296121680000,true,,"Turquoise Island, Notting Hill",BikePoints_379,002682
false,false,1296125400000,true,,"Stanhope Gate, Mayfair",BikePoints_380,003506
false,false,1296203760000,true,,"Charlotte Street, Fitzrovia",BikePoints_381,002669
false,false,1297159320000,true,,"Farm Street, Mayfair",BikePoints_382,002678
false,false,1296649200000,true,,"Frith Street, Soho",BikePoints_383,002660
false,false,1296731880000,true,,"Marloes Road, Kensington",BikePoints_384,003505
false,false,1296732540000,true,,"Moor Street, Soho",BikePoints_386,003504
false,false,1297077540000,true,,"Fire Brigade Pier, Vauxhall",BikePoints_387,002703
