installed,temporary,locked,common_name,install_date,removal_date,place_id,terminal_name
true,false,false,"St John's Crescent, Brixton",1517961600000,,BikePoints_831,300215
true,false,false,"Ferndale Road, Brixton",1517961600000,,BikePoints_832,200240
true,false,false,"Saltoun Road, Brixton",1517875200000,,BikePoints_833,300206
true,false,false,"Gas Holders, Battersea Park",1529449200000,,BikePoints_834,300216
true,false,false,"Farringdon Street, Holborn",,,BikePoints_835,300220
true,false,false,"York Way, Kings Cross",,,BikePoints_836,300235
true,false,false,"Fore Street Avenue, Guildhall",1539254700000,,BikePoints_838,300222
true,false,false,"Sea Containers, South Bank",1544611140000,,BikePoints_839,200144
true,false,false,"George Row, Bermondsey",1599752640000,,BikePoints_840,002679
true,false,false,"Tower Wharf, Bermondsey",,,BikePoints_841,002667
true,false,false,"Temple Gardens, Temple",1600856400000,,BikePoints_842,300250
true,false,false,"Canada Water Station, Rotherhithe",1608298140000,,BikePoints_844,300252
true,false,false,"Bermondsey Station, Bermondsey",1608303660000,,BikePoints_845,300253
true,false,false,"River Street , Clerkenwell",1278947280000,,BikePoints_1,001023
true,false,false,"Phillimore Gardens, Kensington",1278585780000,,BikePoints_2,001018
true,false,false,"Christopher Street, Liverpool Street",1278240360000,,BikePoints_3,001012
true,false,false,"St. Chad's Street, King's Cross",1278241080000,,BikePoints_4,001013
true,false,false,"Sedding Street, Sloane Square",1278241440000,,BikePoints_5,003420
true,false,false,"Broadcasting House, Marylebone",1278241680000,,BikePoints_6,003424
true,false,false,"Charlbert Street, St. John's Wood",1278241800000,,BikePoints_7,003422
true,false,false,"Maida Vale, Maida Vale",1540984560000,,BikePoints_8,003423
true,false,false,"New Globe Walk, Bankside",1278242340000,,BikePoints_9,001015
true,false,false,"Park Street, Bankside",1278242460000,,BikePoints_10,001024
true,false,false,"Brunswick Square, Bloomsbury",1278340440000,,BikePoints_11,001022
true,false,false,"Malet Street, Bloomsbury",1278340620000,,BikePoints_12,000980
true,false,false,"Scala Street, Fitzrovia",1278340800000,,BikePoints_13,000970
true,false,false,"Belgrove Street , King's Cross",1278341040000,,BikePoints_14,001011
true,false,false,"Great Russell Street, Bloomsbury",1278341220000,,BikePoints_15,000988
true,false,false,"Cartwright Gardens , Bloomsbury",1278341400000,,BikePoints_16,001010
true,false,false,"Hatton Wall, Holborn",1278423720000,,BikePoints_17,001008
true,false,false,"Drury Lane, Covent Garden",1278426300000,,BikePoints_18,001007
true,false,false,"Taviton Street, Bloomsbury",1278426720000,,BikePoints_19,001009
true,false,false,"Drummond Street , Euston",1544659200000,,BikePoints_20,000993
true,false,false,"Lansdowne Drive, Hackney Central",1278427740000,,BikePoints_21,003426
true,false,false,"Northington Street , Holborn",1278428880000,,BikePoints_22,003425
true,false,false,"Red Lion Square, Holborn",1278429300000,,BikePoints_23,003421
true,false,false,"British Museum, Bloomsbury",1278430140000,,BikePoints_24,000981
true,false,false,"Doric Way , Somers Town",1278433200000,,BikePoints_25,001004
true,false,false,"Ampton Street , Clerkenwell",1278434160000,,BikePoints_26,001019
true,false,false,"Bouverie Street, Temple",1278500160000,,BikePoints_27,001021
true,false,false,"Bolsover Street, Fitzrovia",1278500460000,,BikePoints_28,001025
true,false,false,"Hereford Road, Bayswater",1278501180000,,BikePoints_29,001016
true,false,false,"Windsor Terrace, Hoxton",1278501420000,,BikePoints_30,001029
true,false,false,"Fanshaw Street, Hoxton",1278501600000,,BikePoints_31,003427
true,false,false,"Leonard Circus , Shoreditch",1278506700000,,BikePoints_32,001020
true,false,false,"Central House, Aldgate",1278506940000,,BikePoints_33,003430
true,false,false,"Pancras Road, King's Cross",1278507060000,,BikePoints_34,003428
true,false,false,"De Vere Gardens, Kensington",1278519900000,,BikePoints_36,003446
true,false,false,"Penywern Road, Earl's Court",1278520020000,,BikePoints_37,003444
true,false,false,"Abingdon Villas, Kensington",1278584880000,,BikePoints_38,003442
true,false,false,"Shoreditch High Street, Shoreditch",1278601740000,,BikePoints_39,003445
true,false,false,"Commercial Street, Shoreditch",1278601980000,,BikePoints_40,001083
true,false,false,"Pindar Street, Liverpool Street",1278602280000,,BikePoints_41,001084
true,false,false,"Wenlock Road , Hoxton",1278602700000,,BikePoints_42,000979
true,false,false,"Crawford Street, Marylebone",1278687720000,,BikePoints_43,001036
true,false,false,"Bruton Street, Mayfair",1278687900000,,BikePoints_44,001034
true,false,false,"Boston Place, Marylebone",1278691320000,,BikePoints_45,001035
true,false,false,"Nesham Street, Wapping",1278691800000,,BikePoints_46,001031
true,false,false,"Warwick Avenue Station, Maida Vale",1278749160000,,BikePoints_47,001027
true,false,false,"Godliman Street, St. Paul's",1278749460000,,BikePoints_48,000971
true,false,false,"Curzon Street, Mayfair",1278749940000,,BikePoints_49,003437
true,false,false,"East Road, Hoxton",1278750240000,,BikePoints_50,001054
true,false,false,"Finsbury Library , Finsbury",1278750540000,,BikePoints_51,000986
true,false,false,"Roscoe Street, St. Luke's",1278750840000,,BikePoints_52,001026
true,false,false,"Grafton Street, Mayfair",1278752580000,,BikePoints_53,003431
true,false,false,"Golden Lane, Barbican",1278766740000,,BikePoints_54,000967
true,false,false,"Finsbury Circus, Liverpool Street",1278766980000,,BikePoints_55,000984
true,false,false,"Paddington Street, Marylebone",1278767220000,,BikePoints_56,001033
true,false,false,"Guilford Street , Bloomsbury",1278767460000,,BikePoints_57,000974
true,false,false,"New Inn Yard, Shoreditch",1278767700000,,BikePoints_58,001032
true,false,false,"Lisson Grove, St. John's Wood",1278769140000,,BikePoints_60,001030
true,false,false,"Great Dover Street, The Borough",1278773820000,,BikePoints_61,001017
true,false,false,"Cotton Garden Estate, Kennington",1278773940000,,BikePoints_62,000990
true,false,false,"Murray Grove , Hoxton",1278774120000,,BikePoints_63,000989
true,false,false,"William IV Street, Strand",1278774300000,,BikePoints_64,001028
true,false,false,"Holborn Circus, Holborn",1278845280000,,BikePoints_66,000982
true,false,false,"Hatton Garden, Holborn",1278847440000,,BikePoints_67,000985
true,false,false,"Theobald's Road , Holborn",1278857040000,,BikePoints_68,000975
true,false,false,"Euston Road, Euston",1278861540000,,BikePoints_69,000983
true,false,false,"Calshot Street , King's Cross",1278863340000,,BikePoints_70,001066
true,false,false,"Newgate Street , St. Paul's",1278924900000,,BikePoints_71,001074
true,false,false,"Farringdon Lane, Clerkenwell",1276948860000,,BikePoints_72,003432
true,false,false,"Old Street Station, St. Luke's",1278941040000,,BikePoints_73,001064
true,false,false,"Vauxhall Cross, Vauxhall",1278941160000,,BikePoints_74,001000
true,false,false,"Torrens Street, Angel",1278945180000,,BikePoints_75,001060
true,false,false,"Longford Street, The Regent's Park",1278946560000,,BikePoints_76,000976
true,false,false,"Russell Square Station, Bloomsbury",1278946860000,,BikePoints_77,000978
true,false,false,"Sadlers Sports Centre, Finsbury",1278948480000,,BikePoints_78,003433
true,false,false,"Arundel Street, Temple",1509018360000,,BikePoints_79,003455
true,false,false,"Webber Street , Southwark",1278952440000,,BikePoints_80,003448
true,false,false,"Great Titchfield Street, Fitzrovia",1279012980000,,BikePoints_81,003450
true,false,false,"Chancery Lane, Holborn",1279015680000,,BikePoints_82,003453
true,false,false,"Panton Street, West End",1279015800000,,BikePoints_83,003452
true,false,false,"Wellington Street , Strand",1280158740000,,BikePoints_338,001202
true,false,false,"Risinghill Street, Angel",1280160600000,,BikePoints_339,001127
true,false,false,"Bank of England Museum, Bank",1280248620000,,BikePoints_340,001201
true,false,false,"Craven Street, Strand",1280222160000,,BikePoints_341,001160
true,false,false,"London Zoo Car Park, The Regent's Park",1280224260000,,BikePoints_343,001188
true,false,false,"Goswell Road (City Uni), Finsbury",1280226120000,,BikePoints_344,001222
true,false,false,"Flood Street, Chelsea",1280229720000,,BikePoints_345,001218
