common_name,place_id,locked,temporary,terminal_name,install_date,installed,removal_date
"Craven Street, Strand",BikePoints_341,false,false,001160,1280222160000,true,
"London Zoo Car Park, The Regent's Park",BikePoints_343,false,false,001188,1280224260000,true,
"Goswell Road (City Uni), Finsbury",BikePoints_344,false,false,001222,1280226120000,true,
"Flood Street, Chelsea",BikePoints_345,false,false,001218,1280229720000,true,
"Lower Marsh, Waterloo",BikePoints_347,false,false,001219,1283762460000,true,
"Grosvenor Square, Mayfair",BikePoints_348,false,false,010627,1284540540000,true,
"St. George Street, Mayfair",BikePoints_349,false,false,001221,1284543120000,true,
"Queen's Gate, Kensington Gardens",BikePoints_350,false,false,001231,1285756260000,true,
"Macclesfield Rd, St Lukes",BikePoints_351,false,false,001226,1286790480000,true,
"Vauxhall Street, Vauxhall",BikePoints_352,false,false,001224,1286796360000,true,
"Greycoat Street , Westminster",BikePoints_353,false,false,010623,1287652080000,true,
"Northumberland Avenue, Strand",BikePoints_354,false,false,001097,,true,
"Clapham Common Station, Clapham Common",BikePoints_355,false,false,002694,1287752460000,true,
"South Kensington Station, South Kensington",BikePoints_356,false,false,002685,1288009080000,true,
"Howland Street, Fitzrovia",BikePoints_357,false,false,002691,1288092420000,true,
"High Holborn , Covent Garden",BikePoints_358,false,false,001229,1290079860000,true,
"Butler Place, Westminster",BikePoints_359,false,false,002662,1288950960000,true,
"Howick Place, Westminster",BikePoints_360,false,false,002666,1288958160000,true,
"Waterloo Station 2, Waterloo",BikePoints_361,false,false,002692,1291902600000,true,
"Royal College Street, Camden Town",BikePoints_362,false,false,002686,1290080220000,true,
"Lord's, St. John's Wood",BikePoints_363,false,false,002665,1289911800000,true,
"Store Street, Bloomsbury",BikePoints_364,false,false,003507,1290080640000,true,
"City Road, Angel",BikePoints_365,false,false,002690,1290603600000,true,
"Harrowby Street, Marylebone",BikePoints_367,false,false,002680,,true,
"Harriet Street, Knightsbridge",BikePoints_368,false,false,002681,1291201680000,true,
"Paddington Green, Paddington",BikePoints_370,false,false,002670,1291647300000,true,
"King Edward Walk, Waterloo",BikePoints_371,false,false,002639,1291712820000,true,
"Sardinia Street, Holborn",BikePoints_372,false,false,002649,1291713000000,true,
"Prince Consort Road, Knightsbridge",BikePoints_373,false,false,003499,1295428320000,true,
"Waterloo Station 1, Waterloo",BikePoints_374,false,false,002696,1291725720000,true,
"Kensington Town Hall, Kensington",BikePoints_375,false,false,010632,1291805820000,true,
"Millbank Tower, Pimlico",BikePoints_376,false,false,002683,1294660980000,true,
"Waterloo Bridge, South Bank",BikePoints_377,false,false,002648,1295265420000,true,
"Natural History Museum, South Kensington",BikePoints_378,false,false,002677,1296121500000,true,
"Turquoise Island, Notting Hill",BikePoints_379,false,false,002682,1296121680000,true,
"Stanhope Gate, Mayfair",BikePoints_380,false,false,003506,1296125400000,true,
"Charlotte Street, Fitzrovia",BikePoints_381,false,false,002669,1296203760000,true,
"Farm Street, Mayfair",BikePoints_382,false,false,002678,1297159320000,true,
"Frith Street, Soho",BikePoints_383,false,false,002660,1296649200000,true,
"Marloes Road, Kensington",BikePoints_384,false,false,003505,1296731880000,true,
"Moor Street, Soho",BikePoints_386,false,false,003504,1296732540000,true,
"Fire Brigade Pier, Vauxhall",BikePoints_387,false,false,002703,1297077540000,true,
"Southampton Street, Strand",BikePoints_388,false,false,001228,1297182180000,true,
"Upper Grosvenor Street, Mayfair",BikePoints_389,false,false,010621,1297347960000,true,
"Buxton Street 1, Shoreditch",BikePoints_390,false,false,001223,1297764360000,true,
"Clifford Street, Mayfair",BikePoints_391,false,false,002688,1297956480000,true,1539846000000
"Imperial College, Knightsbridge",BikePoints_392,false,false,001220,1297958700000,true,
"Snow Hill, Farringdon",BikePoints_393,false,false,002699,1298545440000,true,
