terminal_name,installed,common_name,place_id,install_date,removal_date,temporary,locked
002665,true,"Lord's, St. John's Wood",BikePoints_363,1289911800000,,false,false
003507,true,"Store Street, Bloomsbury",BikePoints_364,1290080640000,,false,false
002690,true,"City Road, Angel",BikePoints_365,1290603600000,,false,false
002680,true,"Harrowby Street, Marylebone",BikePoints_367,,,false,false
002681,true,"Harriet Street, Knightsbridge",BikePoints_368,1291201680000,,false,false
002670,true,"Paddington Green, Paddington",BikePoints_370,1291647300000,,false,false
002639,true,"King Edward Walk, Waterloo",BikePoints_371,1291712820000,,false,false
002649,true,"Sardinia Street, Holborn",BikePoints_372,1291713000000,,false,false
003499,true,"Prince Consort Road, Knightsbridge",BikePoints_373,1295428320000,,false,false
002696,true,"Waterloo Station 1, Waterloo",BikePoints_374,1291725720000,,false,false
010632,true,"Kensington Town Hall, Kensington",BikePoints_375,1291805820000,,false,false
002683,true,"Millbank Tower, Pimlico",BikePoints_376,1294660980000,,false,false
002648,true,"Waterloo Bridge, South Bank",BikePoints_377,1295265420000,,false,false
002677,true,"Natural History Museum, South Kensington",BikePoints_378,1296121500000,,false,false
002682,true,"Turquoise Island, Notting Hill",BikePoints_379,1296121680000,,false,false
003506,true,"Stanhope Gate, Mayfair",BikePoints_380,1296125400000,,false,false
002669,true,"Charlotte Street, Fitzrovia",BikePoints_381,1296203760000,,false,false
002678,true,"Farm Street, Mayfair",BikePoints_382,1297159320000,,false,false
002660,true,"Frith Street, Soho",BikePoints_383,1296649200000,,false,false
003505,true,"Marloes Road, Kensington",BikePoints_384,1296731880000,,false,false
003504,true,"Moor Street, Soho",BikePoints_386,1296732540000,,false,false
002703,true,"Fire Brigade Pier, Vauxhall",BikePoints_387,1297077540000,,false,false
001228,true,"Southampton Street, Strand",BikePoints_388,1297182180000,,false,false
010621,true,"Upper Grosvenor Street, Mayfair",BikePoints_389,1297347960000,,false,false
001223,true,"Buxton Street 1, Shoreditch",BikePoints_390,1297764360000,,false,false
002688,true,"Clifford Street, Mayfair",BikePoints_391,1297956480000,1539846000000,false,false
001220,true,"Imperial College, Knightsbridge",BikePoints_392,1297958700000,,false,false
002699,true,"Snow Hill, Farringdon",BikePoints_393,1298545440000,,false,false
002698,true,"Aberdeen Place, St. John's Wood",BikePoints_394,,,false,false
002695,true,"Cadogan Gardens, Chelsea",BikePoints_395,1298908800000,,false,false
002693,true,"Shouldham Street, Marylebone",BikePoints_396,1299075120000,,false,false
