place_id,temporary,installed,removal_date,terminal_name,common_name,install_date,locked
BikePoints_76,false,true,,000976,"Longford Street, The Regent's Park",1278946560000,false
BikePoints_77,false,true,,000978,"Russell Square Station, Bloomsbury",1278946860000,false
BikePoints_78,false,true,,003433,"Sadlers Sports Centre, Finsbury",1278948480000,false
BikePoints_79,false,true,,003455,"Arundel Street, Temple",1509018360000,false
BikePoints_80,false,true,,003448,"Webber Street , Southwark",1278952440000,false
BikePoints_81,false,true,,003450,"Great Titchfield Street, Fitzrovia",1279012980000,false
BikePoints_82,false,true,,003453,"Chancery Lane, Holborn",1279015680000,false
BikePoints_83,false,true,,003452,"Panton Street, West End",1279015800000,false
BikePoints_84,false,true,,003449,"Breams Buildings, Holborn",1279020240000,false
BikePoints_340,false,true,,001201,"Bank of England Museum, Bank",1280248620000,false
BikePoints_341,false,true,,001160,"Craven Street, Strand",1280222160000,false
BikePoints_343,false,true,,001188,"London Zoo Car Park, The Regent's Park",1280224260000,false
BikePoints_344,false,true,,001222,"Goswell Road (City Uni), Finsbury",1280226120000,false
BikePoints_345,false,true,,001218,"Flood Street, Chelsea",1280229720000,false
BikePoints_347,false,true,,001219,"Lower Marsh, Waterloo",1283762460000,false
BikePoints_348,false,true,,010627,"Grosvenor Square, Mayfair",1284540540000,false
BikePoints_349,false,true,,001221,"St. George Street, Mayfair",1284543120000,false
BikePoints_350,false,true,,001231,"Queen's Gate, Kensington Gardens",1285756260000,false
BikePoints_351,false,true,,001226,"Macclesfield Rd, St Lukes",1286790480000,false
BikePoints_352,false,true,,001224,"Vauxhall Street, Vauxhall",1286796360000,false
BikePoints_353,false,true,,010623,"Greycoat Street , Westminster",1287652080000,false
BikePoints_354,false,true,,001097,"Northumberland Avenue, Strand",,false
BikePoints_355,false,true,,002694,"Clapham Common Station, Clapham Common",1287752460000,false
BikePoints_356,false,true,,002685,"South Kensington Station, South Kensington",1288009080000,false
BikePoints_357,false,true,,002691,"Howland Street, Fitzrovia",1288092420000,false
BikePoints_358,false,true,,001229,"High Holborn , Covent Garden",1290079860000,false
BikePoints_359,false,true,,002662,"Butler Place, Westminster",1288950960000,false
BikePoints_360,false,true,,002666,"Howick Place, Westminster",1288958160000,false
BikePoints_361,false,true,,002692,"Waterloo Station 2, Waterloo",1291902600000,false
BikePoints_362,false,true,,002686,"Royal College Street, Camden Town",1290080220000,false
BikePoints_363,false,true,,002665,"Lord's, St. John's Wood",1289911800000,false
BikePoints_364,false,true,,003507,"Store Street, Bloomsbury",1290080640000,false
BikePoints_365,false,true,,002690,"City Road, Angel",1290603600000,false
BikePoints_367,false,true,,002680,"Harrowby Street, Marylebone",,false
BikePoints_368,false,true,,002681,"Harriet Street, Knightsbridge",1291201680000,false
BikePoints_370,false,true,,002670,"Paddington Green, Paddington",1291647300000,false
BikePoints_371,false,true,,002639,"King Edward Walk, Waterloo",1291712820000,false
BikePoints_372,false,true,,002649,"Sardinia Street, Holborn",1291713000000,false
BikePoints_373,false,true,,003499,"Prince Consort Road, Knightsbridge",1295428320000,false
BikePoints_374,false,true,,002696,"Waterloo Station 1, Waterloo",1291725720000,false
BikePoints_375,false,true,,010632,"Kensington Town Hall, Kensington",1291805820000,false
BikePoints_376,false,true,,002683,"Millbank Tower, Pimlico",1294660980000,false
BikePoints_377,false,true,,002648,"Waterloo Bridge, South Bank",1295265420000,false
BikePoints_378,false,true,,002677,"Natural History Museum, South Kensington",1296121500000,false
BikePoints_379,false,true,,002682,"Turquoise Island, Notting Hill",1296121680000,false
BikePoints_380,false,true,,003506,"Stanhope Gate, Mayfair",1296125400000,false
BikePoints_381,false,true,,002669,"Charlotte Street, Fitzrovia",1296203760000,false
BikePoints_382,false,true,,002678,"Farm Street, Mayfair",1297159320000,false
BikePoints_383,false,true,,002660,"Frith Street, Soho",1296649200000,false
BikePoints_384,false,true,,003505,"Marloes Road, Kensington",1296731880000,false
BikePoints_386,false,true,,003504,"Moor Street, Soho",1296732540000,false
BikePoints_387,false,true,,002703,"Fire Brigade Pier, Vauxhall",1297077540000,false
BikePoints_388,false,true,,001228,"Southampton Street, Strand",1297182180000,false
BikePoints_389,false,true,,010621,"Upper Grosvenor Street, Mayfair",1297347960000,false
BikePoints_390,false,true,,001223,"Buxton Street 1, Shoreditch",1297764360000,false
BikePoints_391,false,true,1539846000000,002688,"Clifford Street, Mayfair",1297956480000,false
BikePoints_392,false,true,,001220,"Imperial College, Knightsbridge",1297958700000,false
BikePoints_393,false,true,,002699,"Snow Hill, Farringdon",1298545440000,false
