place_id,removal_date,locked,installed,install_date,temporary,terminal_name,common_name
BikePoints_75,,false,true,1278945180000,false,001060,"Torrens Street, Angel"
BikePoints_76,,false,true,1278946560000,false,000976,"Longford Street, The Regent's Park"
BikePoints_77,,false,true,1278946860000,false,000978,"Russell Square Station, Bloomsbury"
BikePoints_78,,false,true,1278948480000,false,003433,"Sadlers Sports Centre, Finsbury"
BikePoints_79,,false,true,1509018360000,false,003455,"Arundel Street, Temple"
BikePoints_80,,false,true,1278952440000,false,003448,"Webber Street , Southwark"
BikePoints_81,,false,true,1279012980000,false,003450,"Great Titchfield Street, Fitzrovia"
BikePoints_82,,false,true,1279015680000,false,003453,"Chancery Lane, Holborn"
BikePoints_83,,false,true,1279015800000,false,003452,"Panton Street, West End"
BikePoints_84,,false,true,1279020240000,false,003449,"Breams Buildings, Holborn"
BikePoints_338,,false,true,1280158740000,false,001202,"Wellington Street , Strand"
BikePoints_339,,false,true,1280160600000,false,001127,"Risinghill Street, Angel"
BikePoints_340,,false,true,1280248620000,false,001201,"Bank of England Museum, Bank"
BikePoints_341,,false,true,1280222160000,false,001160,"Craven Street, Strand"
BikePoints_343,,false,true,1280224260000,false,001188,"London Zoo Car Park, The Regent's Park"
BikePoints_344,,false,true,1280226120000,false,001222,"Goswell Road (City Uni), Finsbury"
BikePoints_345,,false,true,1280229720000,false,001218,"Flood Street, Chelsea"
BikePoints_347,,false,true,1283762460000,false,001219,"Lower Marsh, Waterloo"
BikePoints_348,,false,true,1284540540000,false,010627,"Grosvenor Square, Mayfair"
BikePoints_349,,false,true,1284543120000,false,001221,"St. George Street, Mayfair"
BikePoints_350,,false,true,1285756260000,false,001231,"Queen's Gate, Kensington Gardens"
BikePoints_351,,false,true,1286790480000,false,001226,"Macclesfield Rd, St Lukes"
BikePoints_352,,false,true,1286796360000,false,001224,"Vauxhall Street, Vauxhall"
BikePoints_353,,false,true,1287652080000,false,010623,"Greycoat Street , Westminster"
BikePoints_354,,false,true,,false,001097,"Northumberland Avenue, Strand"
BikePoints_355,,false,true,1287752460000,false,002694,"Clapham Common Station, Clapham Common"
BikePoints_356,,false,true,1288009080000,false,002685,"South Kensington Station, South Kensington"
BikePoints_357,,false,true,1288092420000,false,002691,"Howland Street, Fitzrovia"
BikePoints_358,,false,true,1290079860000,false,001229,"High Holborn , Covent Garden"
BikePoints_359,,false,true,1288950960000,false,002662,"Butler Place, Westminster"
BikePoints_360,,false,true,1288958160000,false,002666,"Howick Place, Westminster"
BikePoints_361,,false,true,1291902600000,false,002692,"Waterloo Station 2, Waterloo"
BikePoints_362,,false,true,1290080220000,false,002686,"Royal College Street, Camden Town"
BikePoints_363,,false,true,1289911800000,false,002665,"Lord's, St. John's Wood"
BikePoints_364,,false,true,1290080640000,false,003507,"Store Street, Bloomsbury"
BikePoints_365,,false,true,1290603600000,false,002690,"City Road, Angel"
BikePoints_366,,false,true,1290686880000,false,001230,"Millennium Hotel, Mayfair"
BikePoints_367,,false,true,,false,002680,"Harrowby Street, Marylebone"
BikePoints_368,,false,true,1291201680000,false,002681,"Harriet Street, Knightsbridge"
BikePoints_370,,false,true,1291647300000,false,002670,"Paddington Green, Paddington"
BikePoints_371,,false,true,1291712820000,false,002639,"King Edward Walk, Waterloo"
BikePoints_372,,false,true,1291713000000,false,002649,"Sardinia Street, Holborn"
BikePoints_373,,false,true,1295428320000,false,003499,"Prince Consort Road, Knightsbridge"
BikePoints_374,,false,true,1291725720000,false,002696,"Waterloo Station 1, Waterloo"
BikePoints_375,,false,true,1291805820000,false,010632,"Kensington Town Hall, Kensington"
BikePoints_376,,false,true,1294660980000,false,002683,"Millbank Tower, Pimlico"
BikePoints_377,,false,true,1295265420000,false,002648,"Waterloo Bridge, South Bank"
BikePoints_378,,false,true,1296121500000,false,002677,"Natural History Museum, South Kensington"
BikePoints_379,,false,true,1296121680000,false,002682,"Turquoise Island, Notting Hill"
BikePoints_380,,false,true,1296125400000,false,003506,"Stanhope Gate, Mayfair"
BikePoints_381,,false,true,1296203760000,false,002669,"Charlotte Street, Fitzrovia"
BikePoints_382,,false,true,1297159320000,false,002678,"Farm Street, Mayfair"
