removal_date,locked,temporary,place_id,terminal_name,installed,common_name,install_date
,false,false,BikePoints_62,000990,true,"Cotton Garden Estate, Kennington",1278773940000
,false,false,BikePoints_63,000989,true,"Murray Grove , Hoxton",1278774120000
,false,false,BikePoints_64,001028,true,"William IV Street, Strand",1278774300000
,false,false,BikePoints_66,000982,true,"Holborn Circus, Holborn",1278845280000
,false,false,BikePoints_67,000985,true,"Hatton Garden, Holborn",1278847440000
,false,false,BikePoints_68,000975,true,"Theobald's Road , Holborn",1278857040000
,false,false,BikePoints_69,000983,true,"Euston Road, Euston",1278861540000
,false,false,BikePoints_70,001066,true,"Calshot Street , King's Cross",1278863340000
,false,false,BikePoints_71,001074,true,"Newgate Street , St. Paul's",1278924900000
,false,false,BikePoints_72,003432,true,"Farringdon Lane, Clerkenwell",1276948860000
,false,false,BikePoints_73,001064,true,"Old Street Station, St. Luke's",1278941040000
,false,false,BikePoints_74,001000,true,"Vauxhall Cross, Vauxhall",1278941160000
,false,false,BikePoints_75,001060,true,"Torrens Street, Angel",1278945180000
,false,false,BikePoints_76,000976,true,"Longford Street, The Regent's Park",1278946560000
,false,false,BikePoints_77,000978,true,"Russell Square Station, Bloomsbury",1278946860000
,false,false,BikePoints_78,003433,true,"Sadlers Sports Centre, Finsbury",1278948480000
,false,false,BikePoints_79,003455,true,"Arundel Street, Temple",1509018360000
,false,false,BikePoints_80,003448,true,"Webber Street , Southwark",1278952440000
,false,false,BikePoints_81,003450,true,"Great Titchfield Street, Fitzrovia",1279012980000
,false,false,BikePoints_82,003453,true,"Chancery Lane, Holborn",1279015680000
,false,false,BikePoints_83,003452,true,"Panton Street, West End",1279015800000
,false,false,BikePoints_84,003449,true,"Breams Buildings, Holborn",1279020240000
,false,false,BikePoints_338,001202,true,"Wellington Street , Strand",1280158740000
,false,false,BikePoints_339,001127,true,"Risinghill Street, Angel",1280160600000
,false,false,BikePoints_340,001201,true,"Bank of England Museum, Bank",1280248620000
,false,false,BikePoints_341,001160,true,"Craven Street, Strand",1280222160000
,false,false,BikePoints_343,001188,true,"London Zoo Car Park, The Regent's Park",1280224260000
,false,false,BikePoints_344,001222,true,"Goswell Road (City Uni), Finsbury",1280226120000
,false,false,BikePoints_345,001218,true,"Flood Street, Chelsea",1280229720000
,false,false,BikePoints_347,001219,true,"Lower Marsh, Waterloo",1283762460000
,false,false,BikePoints_348,010627,true,"Grosvenor Square, Mayfair",1284540540000
,false,false,BikePoints_349,001221,true,"St. George Street, Mayfair",1284543120000
,false,false,BikePoints_350,001231,true,"Queen's Gate, Kensington Gardens",1285756260000
,false,false,BikePoints_351,001226,true,"Macclesfield Rd, St Lukes",1286790480000
,false,false,BikePoints_352,001224,true,"Vauxhall Street, Vauxhall",1286796360000
,false,false,BikePoints_353,010623,true,"Greycoat Street , Westminster",1287652080000
,false,false,BikePoints_354,001097,true,"Northumberland Avenue, Strand",
,false,false,BikePoints_355,002694,true,"Clapham Common Station, Clapham Common",1287752460000
,false,false,BikePoints_356,002685,true,"South Kensington Station, South Kensington",1288009080000
,false,false,BikePoints_357,002691,true,"Howland Street, Fitzrovia",1288092420000
,false,false,BikePoints_358,001229,true,"High Holborn , Covent Garden",1290079860000
