temporary,installed,place_id,terminal_name,common_name,install_date,removal_date,locked
false,true,BikePoints_37,003444,"Penywern Road, Earl's Court",1278520020000,,false
false,true,BikePoints_38,003442,"Abingdon Villas, Kensington",1278584880000,,false
false,true,BikePoints_39,003445,"Shoreditch High Street, Shoreditch",1278601740000,,false
false,true,BikePoints_40,001083,"Commercial Street, Shoreditch",1278601980000,,false
false,true,BikePoints_41,001084,"Pindar Street, Liverpool Street",1278602280000,,false
false,true,BikePoints_42,000979,"Wenlock Road , Hoxton",1278602700000,,false
false,true,BikePoints_43,001036,"Crawford Street, Marylebone",1278687720000,,false
false,true,BikePoints_44,001034,"Bruton Street, Mayfair",1278687900000,,false
false,true,BikePoints_45,001035,"Boston Place, Marylebone",1278691320000,,false
false,true,BikePoints_46,001031,"Nesham Street, Wapping",1278691800000,,false
false,true,BikePoints_47,001027,"Warwick Avenue Station, Maida Vale",1278749160000,,false
false,true,BikePoints_48,000971,"Godliman Street, St. Paul's",1278749460000,,false
false,true,BikePoints_49,003437,"Curzon Street, Mayfair",1278749940000,,false
false,true,BikePoints_50,001054,"East Road, Hoxton",1278750240000,,false
false,true,BikePoints_51,000986,"Finsbury Library , Finsbury",1278750540000,,false
false,true,BikePoints_52,001026,"Roscoe Street, St. Luke's",1278750840000,,false
false,true,BikePoints_53,003431,"Grafton Street, Mayfair",1278752580000,,false
false,true,BikePoints_54,000967,"Golden Lane, Barbican",1278766740000,,false
false,true,BikePoints_55,000984,"Finsbury Circus, Liverpool Street",1278766980000,,false
false,true,BikePoints_56,001033,"Paddington Street, Marylebone",1278767220000,,false
false,true,BikePoints_57,000974,"Guilford Street , Bloomsbury",1278767460000,,false
false,true,BikePoints_58,001032,"New Inn Yard, Shoreditch",1278767700000,,false
false,true,BikePoints_60,001030,"Lisson Grove, St. John's Wood",1278769140000,,false
false,true,BikePoints_61,001017,"Great Dover Street, The Borough",1278773820000,,false
false,true,BikePoints_62,000990,"Cotton Garden Estate, Kennington",1278773940000,,false
false,true,BikePoints_63,000989,"Murray Grove , Hoxton",1278774120000,,false
false,true,BikePoints_64,001028,"William IV Street, Strand",1278774300000,,false
false,true,BikePoints_65,000969,"Gower Place , Euston",1278840660000,,false
false,true,BikePoints_66,000982,"Holborn Circus, Holborn",1278845280000,,false
false,true,BikePoints_67,000985,"Hatton Garden, Holborn",1278847440000,,false
false,true,BikePoints_68,000975,"Theobald's Road , Holborn",1278857040000,,false
false,true,BikePoints_69,000983,"Euston Road, Euston",1278861540000,,false
false,true,BikePoints_70,001066,"Calshot Street , King's Cross",1278863340000,,false
false,true,BikePoints_71,001074,"Newgate Street , St. Paul's",1278924900000,,false
false,true,BikePoints_72,003432,"Farringdon Lane, Clerkenwell",1276948860000,,false
false,true,BikePoints_73,001064,"Old Street Station, St. Luke's",1278941040000,,false
false,true,BikePoints_74,001000,"Vauxhall Cross, Vauxhall",1278941160000,,false
false,true,BikePoints_75,001060,"Torrens Street, Angel",1278945180000,,false
false,true,BikePoints_76,000976,"Longford Street, The Regent's Park",1278946560000,,false
false,true,BikePoints_77,000978,"Russell Square Station, Bloomsbury",1278946860000,,false
false,true,BikePoints_78,003433,"Sadlers Sports Centre, Finsbury",1278948480000,,false
false,true,BikePoints_79,003455,"Arundel Street, Temple",1509018360000,,false
false,true,BikePoints_80,003448,"Webber Street , Southwark",1278952440000,,false
false,true,BikePoints_81,003450,"Great Titchfield Street, Fitzrovia",1279012980000,,false
false,true,BikePoints_82,003453,"Chancery Lane, Holborn",1279015680000,,false
false,true,BikePoints_83,003452,"Panton Street, West End",1279015800000,,false
false,true,BikePoints_334,002635,"Concert Hall Approach 1, South Bank",1280147580000,,false
false,true,BikePoints_335,001207,"Tavistock Street, Covent Garden",1280152560000,,false
false,true,BikePoints_336,001212,"Concert Hall Approach 2, South Bank",1280152800000,,false
false,true,BikePoints_337,002589,"Pembridge Villas, Notting Hill",1280153100000,,false
false,true,BikePoints_338,001202,"Wellington Street , Strand",1280158740000,,false
false,true,BikePoints_339,001127,"Risinghill Street, Angel",1280160600000,,false
false,true,BikePoints_340,001201,"Bank of England Museum, Bank",1280248620000,,false
false,true,BikePoints_341,001160,"Craven Street, Strand",1280222160000,,false
false,true,BikePoints_343,001188,"London Zoo Car Park, The Regent's Park",1280224260000,,false
false,true,BikePoints_344,001222,"Goswell Road (City Uni), Finsbury",1280226120000,,false
false,true,BikePoints_345,001218,"Flood Street, Chelsea",1280229720000,,false
false,true,BikePoints_347,001219,"Lower Marsh, Waterloo",1283762460000,,false
false,true,BikePoints_348,010627,"Grosvenor Square, Mayfair",1284540540000,,false
