place_id,installed,install_date,locked,terminal_name,temporary,removal_date,common_name
BikePoints_22,true,1278428880000,false,003425,false,,"Northington Street , Holborn"
BikePoints_23,true,1278429300000,false,003421,false,,"Red Lion Square, Holborn"
BikePoints_24,true,1278430140000,false,000981,false,,"British Museum, Bloomsbury"
BikePoints_25,true,1278433200000,false,001004,false,,"Doric Way , Somers Town"
BikePoints_26,true,1278434160000,false,001019,false,,"Ampton Street , Clerkenwell"
BikePoints_27,true,1278500160000,false,001021,false,,"Bouverie Street, Temple"
BikePoints_28,true,1278500460000,false,001025,false,,"Bolsover Street, Fitzrovia"
BikePoints_29,true,1278501180000,false,001016,false,,"Hereford Road, Bayswater"
BikePoints_30,true,1278501420000,false,001029,false,,"Windsor Terrace, Hoxton"
BikePoints_31,true,1278501600000,false,003427,false,,"Fanshaw Street, Hoxton"
BikePoints_32,true,1278506700000,false,001020,false,,"Leonard Circus , Shoreditch"
BikePoints_33,true,1278506940000,false,003430,false,,"Central House, Aldgate"
BikePoints_34,true,1278507060000,false,003428,false,,"Pancras Road, King's Cross"
BikePoints_36,true,1278519900000,false,003446,false,,"De Vere Gardens, Kensington"
BikePoints_37,true,1278520020000,false,003444,false,,"Penywern Road, Earl's Court"
BikePoints_38,true,1278584880000,false,003442,false,,"Abingdon Villas, Kensington"
BikePoints_39,true,1278601740000,false,003445,false,,"Shoreditch High Street, Shoreditch"
BikePoints_40,true,1278601980000,false,001083,false,,"Commercial Street, Shoreditch"
BikePoints_41,true,1278602280000,false,001084,false,,"Pindar Street, Liverpool Street"
BikePoints_42,true,1278602700000,false,000979,false,,"Wenlock Road , Hoxton"
BikePoints_43,true,1278687720000,false,001036,false,,"Crawford Street, Marylebone"
BikePoints_44,true,1278687900000,false,001034,false,,"Bruton Street, Mayfair"
BikePoints_45,true,1278691320000,false,001035,false,,"Boston Place, Marylebone"
BikePoints_46,true,1278691800000,false,001031,false,,"Nesham Street, Wapping"
BikePoints_47,true,1278749160000,false,001027,false,,"Warwick Avenue Station, Maida Vale"
BikePoints_48,true,1278749460000,false,000971,false,,"Godliman Street, St. Paul's"
BikePoints_49,true,1278749940000,false,003437,false,,"Curzon Street, Mayfair"
BikePoints_50,true,1278750240000,false,001054,false,,"East Road, Hoxton"
BikePoints_51,true,1278750540000,false,000986,false,,"Finsbury Library , Finsbury"
BikePoints_52,true,1278750840000,false,001026,false,,"Roscoe Street, St. Luke's"
BikePoints_53,true,1278752580000,false,003431,false,,"Grafton Street, Mayfair"
BikePoints_54,true,1278766740000,false,000967,false,,"Golden Lane, Barbican"
BikePoints_55,true,1278766980000,false,000984,false,,"Finsbury Circus, Liverpool Street"
BikePoints_56,true,1278767220000,false,001033,false,,"Paddington Street, Marylebone"
BikePoints_57,true,1278767460000,false,000974,false,,"Guilford Street , Bloomsbury"
BikePoints_58,true,1278767700000,false,001032,false,,"New Inn Yard, Shoreditch"
BikePoints_60,true,1278769140000,false,001030,false,,"Lisson Grove, St. John's Wood"
BikePoints_61,true,1278773820000,false,001017,false,,"Great Dover Street, The Borough"
BikePoints_62,true,1278773940000,false,000990,false,,"Cotton Garden Estate, Kennington"
BikePoints_63,true,1278774120000,false,000989,false,,"Murray Grove , Hoxton"
BikePoints_64,true,1278774300000,false,001028,false,,"William IV Street, Strand"
BikePoints_66,true,1278845280000,false,000982,false,,"Holborn Circus, Holborn"
BikePoints_67,true,1278847440000,false,000985,false,,"Hatton Garden, Holborn"
BikePoints_68,true,1278857040000,false,000975,false,,"Theobald's Road , Holborn"
BikePoints_69,true,1278861540000,false,000983,false,,"Euston Road, Euston"
BikePoints_70,true,1278863340000,false,001066,false,,"Calshot Street , King's Cross"
