locked,place_id,installed,common_name,install_date,terminal_name,removal_date,temporary
false,BikePoints_364,true,"Store Street, Bloomsbury",1290080640000,003507,,false
false,BikePoints_365,true,"City Road, Angel",1290603600000,002690,,false
false,BikePoints_367,true,"Harrowby Street, Marylebone",,002680,,false
false,BikePoints_368,true,"Harriet Street, Knightsbridge",1291201680000,002681,,false
false,BikePoints_370,true,"Paddington Green, Paddington",1291647300000,002670,,false
false,BikePoints_371,true,"King Edward Walk, Waterloo",1291712820000,002639,,false
false,BikePoints_372,true,"Sardinia Street, Holborn",1291713000000,002649,,false
false,BikePoints_373,true,"Prince Consort Road, Knightsbridge",1295428320000,003499,,false
false,BikePoints_374,true,"Waterloo Station 1, Waterloo",1291725720000,002696,,false
false,BikePoints_375,true,"Kensington Town Hall, Kensington",1291805820000,010632,,false
false,BikePoints_376,true,"Millbank Tower, Pimlico",1294660980000,002683,,false
false,BikePoints_377,true,"Waterloo Bridge, South Bank",1295265420000,002648,,false
false,BikePoints_378,true,"Natural History Museum, South Kensington",1296121500000,002677,,false
false,BikePoints_379,true,"Turquoise Island, Notting Hill",1296121680000,002682,,false
false,BikePoints_380,true,"Stanhope Gate, Mayfair",1296125400000,003506,,false
false,BikePoints_381,true,"Charlotte Street, Fitzrovia",1296203760000,002669,,false
false,BikePoints_382,true,"Farm Street, Mayfair",1297159320000,002678,,false
false,BikePoints_383,true,"Frith Street, Soho",1296649200000,002660,,false
false,BikePoints_384,true,"Marloes Road, Kensington",1296731880000,003505,,false
false,BikePoints_386,true,"Moor Street, Soho",1296732540000,003504,,false
false,BikePoints_387,true,"Fire Brigade Pier, Vauxhall",1297077540000,002703,,false
false,BikePoints_388,true,"Southampton Street, Strand",1297182180000,001228,,false
false,BikePoints_389,true,"Upper Grosvenor Street, Mayfair",1297347960000,010621,,false
