removal_date,common_name,locked,installed,terminal_name,install_date,temporary,place_id
,"Michael Road, Walham Green",false,true,300095,1385394720000,false,BikePoints_731
,"Duke Street Hill, London Bridge",false,true,300083,1385458020000,false,BikePoints_732
,"Park Lane, Mayfair",false,true,300093,1385460840000,false,BikePoints_733
,"Plough Terrace, Clapham Junction",false,true,300094,1385464500000,false,BikePoints_734
,"Grant Road East, Clapham Junction",false,true,200120,1385383080000,false,BikePoints_735
,"Queensdale Road, Shepherd's Bush",false,true,300088,1385472900000,false,BikePoints_736
,"Fulham Broadway, Walham Green",false,true,300086,1385554620000,false,BikePoints_737
,"Imperial Road, Sands End",false,true,300087,1385563380000,false,BikePoints_738
,"Hortensia Road, West Brompton",false,true,300091,1385631000000,false,BikePoints_739
,"Sirdar Road, Avondale",false,true,300084,1385635440000,false,BikePoints_740
,"Freston Road, Avondale",false,true,300085,1385640120000,false,BikePoints_741
,"Blenheim Crescent, Ladbroke Grove",false,true,300090,1385649540000,false,BikePoints_742
,"Oxford Road, Putney",false,true,300078,1385723700000,false,BikePoints_743
,"Ingrave Street, Clapham Junction",false,true,300077,1385729760000,false,BikePoints_744
,"Upcerne Road, West Chelsea",false,true,300075,1385740020000,false,BikePoints_745
,"Lots Road, West Chelsea",false,true,300076,1385985720000,false,BikePoints_746
,"Ormonde Gate, Chelsea",false,true,300089,1385997240000,false,BikePoints_747
,"Hertford Road, De Beauvoir Town",false,true,300092,1386159900000,false,BikePoints_748
,"Haggerston Road, Haggerston",false,true,300081,1386172440000,false,BikePoints_749
,"Culvert Road, Battersea",false,true,300080,1386240360000,false,BikePoints_750
,"Newton Street, Covent Garden",false,true,300074,1386250800000,false,BikePoints_751
,"London Street, Paddington",false,true,300079,1650364320000,false,BikePoints_752
,"Grenfell Road, Avondale",false,true,300067,1389003540000,false,BikePoints_754
,"The Vale, Chelsea",false,true,300058,1389008580000,false,BikePoints_755
,"Prince of Wales Drive, Battersea Park",false,true,300073,1390223040000,false,BikePoints_756
,"Harcourt Terrace, West Brompton",false,true,300069,1389094260000,false,BikePoints_757
,"Westbourne Park Road, Portobello",false,true,300057,1389178020000,false,BikePoints_758
,"Broadley Terrace, Marylebone",false,true,300072,1389627480000,false,BikePoints_759
,"Humbolt Road, Fulham",false,true,300068,1389781800000,false,BikePoints_761
,"Storey's Gate, Westminster",false,true,200202,1392039000000,false,BikePoints_762
,"Mile End Park Leisure Centre, Mile End",false,true,300027,1392043020000,false,BikePoints_763
,"St. John's Road, Clapham Junction",false,true,200185,1392633480000,false,BikePoints_764
,"Ranelagh Gardens, Fulham",false,true,300064,1392986940000,false,BikePoints_765
,"Ram Street, Wandsworth",false,true,200079,1392894840000,false,BikePoints_766
,"Santos Road, Wandsworth",false,true,200177,1393406280000,false,BikePoints_767
,"Clapham Common North Side, Clapham Common",false,true,300065,1393494060000,false,BikePoints_768
,"Sandilands Road, Walham Green",false,true,300001,1393939560000,false,BikePoints_769
,"Gwendwr Road, West Kensington",false,true,300097,1394099280000,false,BikePoints_770
,"Rifle Place, Avondale",false,true,300007,1394018400000,false,BikePoints_771
,"Binfield Road, Stockwell",false,true,300015,1396442100000,false,BikePoints_772
,"Tallis Street, Temple",false,true,300096,1396262520000,false,BikePoints_773
,"Hurlingham Park, Parsons Green",false,true,300098,1396265880000,false,BikePoints_774
,"Little Brook Green, Brook Green",false,true,300101,1396270320000,false,BikePoints_775
,"Abyssinia Close, Clapham Junction",false,true,300099,1396273320000,false,BikePoints_776
,"Limburg Road, Clapham Junction",false,true,300100,1406282940000,false,BikePoints_777
,"Houndsditch, Aldgate",false,true,200072,1435313700000,false,BikePoints_779
,"Imperial Wharf Station, Sands End",false,true,300070,1439455200000,false,BikePoints_780
,"Victoria & Albert Museum, South Kensington",false,true,300032,1446485340000,false,BikePoints_781
,"Halford Road, West Kensington",false,true,300210,1446485820000,false,BikePoints_782
,"Tanner Street, Bermondsey",false,true,000994,1279026060000,false,BikePoints_85
,"Sancroft Street, Vauxhall",false,true,003434,1279027140000,false,BikePoints_86
,"Devonshire Square, Liverpool Street",false,true,003438,1279027680000,false,BikePoints_87
,"Bayley Street , Bloomsbury",false,true,001006,1279028280000,false,BikePoints_88
,"Tavistock Place, Bloomsbury",false,true,003439,1279029360000,false,BikePoints_89
,"Harrington Square 1, Camden Town",false,true,001038,1279030020000,false,BikePoints_90
,"Walnut Tree Walk, Vauxhall",false,true,001076,1279036740000,false,BikePoints_91
,"Borough Road, Elephant & Castle",false,true,001082,1279037040000,false,BikePoints_92
,"Cloudesley Road, Angel",false,true,002586,1279037760000,false,BikePoints_93
,"Bricklayers Arms, Borough",false,true,001070,1279038420000,false,BikePoints_94
,"Falkirk Street, Hoxton",false,true,001047,1279096980000,false,BikePoints_96
,"Gloucester Road (North), Kensington",false,true,003447,1279097580000,false,BikePoints_97
,"Hampstead Road, Euston",false,true,000972,1279099080000,false,BikePoints_98
,"Old Quebec Street, Marylebone",false,true,001085,1279099680000,false,BikePoints_99
,"Albert Embankment, Vauxhall",false,true,001059,1279099860000,false,BikePoints_100
,"Queen Street 1, Bank",false,true,000999,1279102680000,false,BikePoints_101
,"Jewry Street, Aldgate",false,true,001045,1279102860000,false,BikePoints_102
,"Vicarage Gate, Kensington",false,true,003441,1279103520000,false,BikePoints_103
,"Crosswall, Tower",false,true,000991,1279103760000,false,BikePoints_104
,"Westbourne Grove, Bayswater",false,true,001041,1279105320000,false,BikePoints_105
,"Woodstock Street, Mayfair",false,true,001042,1279106880000,false,BikePoints_106
,"Finsbury Leisure Centre, St. Luke's",false,true,001049,1279107480000,false,BikePoints_107
,"Abbey Orchard Street, Westminster",false,true,003429,1279107720000,false,BikePoints_108
,"Soho Square , Soho",false,true,001052,1279108320000,false,BikePoints_109
,"Wellington Road, St. John's Wood",false,true,001055,1279108920000,false,BikePoints_110
,"Park Lane , Hyde Park",false,true,001037,1279109160000,false,BikePoints_111
,"Gloucester Road (Central), South Kensington",false,true,003435,1279116600000,false,BikePoints_113
,"Park Road (Baker Street), The Regent's Park",false,true,001050,1279119900000,false,BikePoints_114
,"Braham Street, Aldgate",false,true,001062,1279120680000,false,BikePoints_115
,"Little Argyll Street, West End",false,true,000995,1279122360000,false,BikePoints_116
,"Lollard Street, Vauxhall",false,true,000998,1279124220000,false,BikePoints_117
,"Rochester Row, Westminster",false,true,003457,1279124520000,false,BikePoints_118
,"Bath Street, St. Luke's",false,true,000964,1279124760000,false,BikePoints_119
,"The Guildhall, Guildhall",false,true,001044,1279187040000,false,BikePoints_120
,"Baker Street, Marylebone",false,true,001086,1279189200000,false,BikePoints_121
,"Norton Folgate, Liverpool Street",false,true,001068,1279190040000,false,BikePoints_122
,"St. John Street, Finsbury",false,true,000992,1279191300000,false,BikePoints_123
,"Eaton Square, Belgravia",false,true,001069,1279191540000,false,BikePoints_124
,"Borough High Street, The Borough",false,true,000996,1279192200000,false,BikePoints_125
,"Museum of London, Barbican",false,true,001043,1279193340000,false,BikePoints_126
,"Wood Street, Guildhall",false,true,001063,1279193520000,false,BikePoints_127
,"Emperor's Gate, South Kensington",false,true,001116,1279194060000,false,BikePoints_128
,"Golden Square, Soho",false,true,003451,1279198500000,false,BikePoints_129
,"Tower Gardens , Tower",false,true,001071,1279198800000,false,BikePoints_130
,"Eversholt Street , Camden Town",false,true,001005,1279199280000,false,BikePoints_131
,"Bethnal Green Road, Shoreditch",false,true,000973,1279199520000,false,BikePoints_132
,"Derry Street, Kensington",false,true,003436,1279200240000,false,BikePoints_133
,"Wapping High Street, Wapping",false,true,001039,1279200900000,false,BikePoints_134
,"Clerkenwell Green, Clerkenwell",false,true,001053,1279201080000,false,BikePoints_135
,"Queen Victoria Street, St. Paul's",false,true,001048,1279201200000,false,BikePoints_136
,"Green Street, Mayfair",false,true,003464,1279205220000,false,BikePoints_138
,"Lambeth Road, Vauxhall",false,true,001078,1279205460000,false,BikePoints_139
,"Finsbury Square , Moorgate",false,true,001056,1279205580000,false,BikePoints_140
,"Chapel Place, Marylebone",false,true,001003,1279210980000,false,BikePoints_141
