installed,terminal_name,removal_date,common_name,locked,place_id,temporary,install_date
true,001094,,"Wright's Lane, Kensington",false,BikePoints_157,false,1279273200000
true,001113,,"Trebovir Road, Earl's Court",false,BikePoints_158,false,1279273320000
true,003458,,"Waterloo Place, St. James's",false,BikePoints_160,false,1279274280000
true,003478,,"Guildhouse Street, Victoria",false,BikePoints_161,false,1279286940000
true,001123,,"Southampton Place, Holborn",false,BikePoints_162,false,1279287120000
true,003461,,"Sloane Avenue, Knightsbridge",false,BikePoints_163,false,1279287300000
true,001178,,"Cleveland Gardens, Bayswater",false,BikePoints_164,false,1279287600000
true,002585,,"Orsett Terrace, Bayswater",false,BikePoints_165,false,1279287960000
true,001177,,"Seville Street, Knightsbridge",false,BikePoints_166,false,1279288140000
true,003465,,"Eccleston Place, Victoria",false,BikePoints_167,false,
true,003463,,"Argyll Road, Kensington",false,BikePoints_168,false,1279289400000
true,022169,,"Wren Street, Holborn",false,BikePoints_433,false,1323361560000
true,022170,,"Kennington Station, Kennington",false,BikePoints_435,false,1323346020000
true,022171,,"Red Lion Street, Holborn",false,BikePoints_436,false,1323350220000
true,200056,,"Vauxhall Walk, Vauxhall",false,BikePoints_437,false,1325746380000
true,200053,,"Killick Street, King's Cross",false,BikePoints_439,false,1325705460000
true,200032,,"Kennington Oval, Oval",false,BikePoints_440,false,1325708160000
true,200039,,"Sail Street, Vauxhall",false,BikePoints_441,false,1325711220000
true,200035,,"Walmer Road, Avondale",false,BikePoints_442,false,1325940420000
true,200033,,"Philpot Street, Whitechapel",false,BikePoints_443,false,1325941800000
true,200047,,"Bethnal Green Garden, Bethnal Green",false,BikePoints_444,false,1325944680000
true,200003,,"Cheshire Street, Bethnal Green",false,BikePoints_445,false,1325945820000
true,200042,,"York Hall, Bethnal Green",false,BikePoints_446,false,1325948880000
true,200054,,"Jubilee Crescent, Cubitt Town",false,BikePoints_447,false,1325949000000
true,022165,,"Fisherman's Walk West, Canary Wharf",false,BikePoints_448,false,1325952660000
true,200020,,"Shadwell Station, Shadwell",false,BikePoints_449,false,1325952900000
true,200002,,"Jubilee Street, Stepney",false,BikePoints_450,false,1326105240000
true,200021,,"Hermitage Court, Wapping",false,BikePoints_451,false,1325501400000
true,200049,,"St. Katharine's Way, Tower",false,BikePoints_452,false,1326109140000
true,200045,,"Garnet Street, Shadwell",false,BikePoints_453,false,1326111060000
true,200046,,"Napier Avenue, Millwall",false,BikePoints_454,false,1326115380000
true,200031,,"East Ferry Road, Cubitt Town",false,BikePoints_455,false,1326117780000
true,200118,,"Parkway, Camden Town",false,BikePoints_456,false,1326197580000
true,200016,,"Castlehaven Road, Camden Town",false,BikePoints_457,false,1326203280000
true,200034,,"Wapping Lane, Wapping",false,BikePoints_458,false,1326294780000
true,200014,,"Gunmakers Lane, Old Ford",false,BikePoints_459,false,
true,200123,,"Burdett Road, Mile End",false,BikePoints_460,false,1326284820000
true,200013,,"Aston Street, Stepney",false,BikePoints_461,true,1326293640000
true,200105,,"Bonny Street, Camden Town",false,BikePoints_462,false,1326294600000
true,200093,,"Thurtle Road, Haggerston",false,BikePoints_463,false,
true,200082,,"St. Mary & St. Michael Church, Stepney",false,BikePoints_464,false,1326304980000
true,200152,,"Pitfield Street North,Hoxton",false,BikePoints_465,false,1333613280000
true,200158,,"Whiston Road, Haggerston",false,BikePoints_466,false,1326360000000
true,200168,,"Southern Grove, Bow",false,BikePoints_467,false,1326374040000
true,200150,,"Cantrell Road, Bow",false,BikePoints_468,false,1326375720000
true,022178,,"Lindfield Street, Poplar",false,BikePoints_469,false,1326381060000
true,200174,,"Mostyn Grove, Bow",false,BikePoints_470,false,1326790620000
