installed,temporary,terminal_name,removal_date,place_id,locked,install_date,common_name
true,false,003444,,BikePoints_37,false,1278520020000,"Penywern Road, Earl's Court"
true,false,003442,,BikePoints_38,false,1278584880000,"Abingdon Villas, Kensington"
true,false,003445,,BikePoints_39,false,1278601740000,"Shoreditch High Street, Shoreditch"
true,false,001083,,BikePoints_40,false,1278601980000,"Commercial Street, Shoreditch"
true,false,001084,,BikePoints_41,false,1278602280000,"Pindar Street, Liverpool Street"
true,false,000979,,BikePoints_42,false,1278602700000,"Wenlock Road , Hoxton"
true,false,001036,,BikePoints_43,false,1278687720000,"Crawford Street, Marylebone"
true,false,001034,,BikePoints_44,false,1278687900000,"Bruton Street, Mayfair"
true,false,001035,,BikePoints_45,false,1278691320000,"Boston Place, Marylebone"
true,false,001031,,BikePoints_46,false,1278691800000,"Nesham Street, Wapping"
true,false,001027,,BikePoints_47,false,1278749160000,"Warwick Avenue Station, Maida Vale"
true,false,000971,,BikePoints_48,false,1278749460000,"Godliman Street, St. Paul's"
true,false,003437,,BikePoints_49,false,1278749940000,"Curzon Street, Mayfair"
true,false,001054,,BikePoints_50,false,1278750240000,"East Road, Hoxton"
true,false,000986,,BikePoints_51,false,1278750540000,"Finsbury Library , Finsbury"
true,false,001026,,BikePoints_52,false,1278750840000,"Roscoe Street, St. Luke's"
true,false,003431,,BikePoints_53,false,1278752580000,"Grafton Street, Mayfair"
true,false,000967,,BikePoints_54,false,1278766740000,"Golden Lane, Barbican"
true,false,000984,,BikePoints_55,false,1278766980000,"Finsbury Circus, Liverpool Street"
true,false,001033,,BikePoints_56,false,1278767220000,"Paddington Street, Marylebone"
true,false,000974,,BikePoints_57,false,1278767460000,"Guilford Street , Bloomsbury"
true,false,001032,,BikePoints_58,false,1278767700000,"New Inn Yard, Shoreditch"
true,false,001030,,BikePoints_60,false,1278769140000,"Lisson Grove, St. John's Wood"
true,false,001017,,BikePoints_61,false,1278773820000,"Great Dover Street, The Borough"
true,false,000990,,BikePoints_62,false,1278773940000,"Cotton Garden Estate, Kennington"
true,false,000989,,BikePoints_63,false,1278774120000,"Murray Grove , Hoxton"
true,false,001028,,BikePoints_64,false,1278774300000,"William IV Street, Strand"
true,false,000982,,BikePoints_66,false,1278845280000,"Holborn Circus, Holborn"
true,false,000985,,BikePoints_67,false,1278847440000,"Hatton Garden, Holborn"
true,false,000975,,BikePoints_68,false,1278857040000,"Theobald's Road , Holborn"
true,false,000983,,BikePoints_69,false,1278861540000,"Euston Road, Euston"
true,false,001066,,BikePoints_70,false,1278863340000,"Calshot Street , King's Cross"
true,false,001074,,BikePoints_71,false,1278924900000,"Newgate Street , St. Paul's"
true,false,003432,,BikePoints_72,false,1276948860000,"Farringdon Lane, Clerkenwell"
true,false,001064,,BikePoints_73,false,1278941040000,"Old Street Station, St. Luke's"
true,false,001000,,BikePoints_74,false,1278941160000,"Vauxhall Cross, Vauxhall"
true,false,001060,,BikePoints_75,false,1278945180000,"Torrens Street, Angel"
true,false,000976,,BikePoints_76,false,1278946560000,"Longford Street, The Regent's Park"
true,false,000978,,BikePoints_77,false,1278946860000,"Russell Square Station, Bloomsbury"
true,false,003433,,BikePoints_78,false,1278948480000,"Sadlers Sports Centre, Finsbury"
true,false,003455,,BikePoints_79,false,1509018360000,"Arundel Street, Temple"
true,false,003448,,BikePoints_80,false,1278952440000,"Webber Street , Southwark"
true,false,003450,,BikePoints_81,false,1279012980000,"Great Titchfield Street, Fitzrovia"
true,false,003453,,BikePoints_82,false,1279015680000,"Chancery Lane, Holborn"
true,false,003452,,BikePoints_83,false,1279015800000,"Panton Street, West End"
true,false,003449,,BikePoints_84,false,1279020240000,"Breams Buildings, Holborn"
true,false,001201,,BikePoints_340,false,1280248620000,"Bank of England Museum, Bank"
