common_name,removal_date,temporary,terminal_name,place_id,installed,locked,install_date
"Vauxhall Street, Vauxhall",,false,001224,BikePoints_352,true,false,1286796360000
"Greycoat Street , Westminster",,false,010623,BikePoints_353,true,false,1287652080000
"Northumberland Avenue, Strand",,false,001097,BikePoints_354,true,false,
"Clapham Common Station, Clapham Common",,false,002694,BikePoints_355,true,false,1287752460000
"South Kensington Station, South Kensington",,false,002685,BikePoints_356,true,false,1288009080000
"Howland Street, Fitzrovia",,false,002691,BikePoints_357,true,false,1288092420000
"High Holborn , Covent Garden",,false,001229,BikePoints_358,true,false,1290079860000
"Butler Place, Westminster",,false,002662,BikePoints_359,true,false,1288950960000
"Howick Place, Westminster",,false,002666,BikePoints_360,true,false,1288958160000
"Waterloo Station 2, Waterloo",,false,002692,BikePoints_361,true,false,1291902600000
"Royal College Street, Camden Town",,false,002686,BikePoints_362,true,false,1290080220000
"Lord's, St. John's Wood",,false,002665,BikePoints_363,true,false,1289911800000
"Store Street, Bloomsbury",,false,003507,BikePoints_364,true,false,1290080640000
"City Road, Angel",,false,002690,BikePoints_365,true,false,1290603600000
"Millennium Hotel, Mayfair",,false,001230,BikePoints_366,true,false,1290686880000
"Harrowby Street, Marylebone",,false,002680,BikePoints_367,true,false,
"Harriet Street, Knightsbridge",,false,002681,BikePoints_368,true,false,1291201680000
"Paddington Green, Paddington",,false,002670,BikePoints_370,true,false,1291647300000
"King Edward Walk, Waterloo",,false,002639,BikePoints_371,true,false,1291712820000
"Sardinia Street, Holborn",,false,002649,BikePoints_372,true,false,1291713000000
"Prince Consort Road, Knightsbridge",,false,003499,BikePoints_373,true,false,1295428320000
"Waterloo Station 1, Waterloo",,false,002696,BikePoints_374,true,false,1291725720000
"Kensington Town Hall, Kensington",,false,010632,BikePoints_375,true,false,1291805820000
"Millbank Tower, Pimlico",,false,002683,BikePoints_376,true,false,1294660980000
"Waterloo Bridge, South Bank",,false,002648,BikePoints_377,true,false,1295265420000
"Natural History Museum, South Kensington",,false,002677,BikePoints_378,true,false,1296121500000
"Turquoise Island, Notting Hill",,false,002682,BikePoints_379,true,false,1296121680000
"Stanhope Gate, Mayfair",,false,003506,BikePoints_380,true,false,1296125400000
"Charlotte Street, Fitzrovia",,false,002669,BikePoints_381,true,false,1296203760000
"Farm Street, Mayfair",,false,002678,BikePoints_382,true,false,1297159320000
"Frith Street, Soho",,false,002660,BikePoints_383,true,false,1296649200000
"Marloes Road, Kensington",,false,003505,BikePoints_384,true,false,1296731880000
"Moor Street, Soho",,false,003504,BikePoints_386,true,false,1296732540000
"Fire Brigade Pier, Vauxhall",,false,002703,BikePoints_387,true,false,1297077540000
"Southampton Street, Strand",,false,001228,BikePoints_388,true,false,1297182180000
"Upper Grosvenor Street, Mayfair",,false,010621,BikePoints_389,true,false,1297347960000
"Buxton Street 1, Shoreditch",,false,001223,BikePoints_390,true,false,1297764360000
"Clifford Street, Mayfair",1539846000000,false,002688,BikePoints_391,true,false,1297956480000
"Imperial College, Knightsbridge",,false,001220,BikePoints_392,true,false,1297958700000
"Snow Hill, Farringdon",,false,002699,BikePoints_393,true,false,1298545440000
