install_date,place_id,installed,common_name,locked,temporary,terminal_name,removal_date
1389178020000,BikePoints_758,true,"Westbourne Park Road, Portobello",false,false,300057,
1389627480000,BikePoints_759,true,"Broadley Terrace, Marylebone",false,false,300072,
1389781800000,BikePoints_761,true,"Humbolt Road, Fulham",false,false,300068,
1392039000000,BikePoints_762,true,"Storey's Gate, Westminster",false,false,200202,
1392043020000,BikePoints_763,true,"Mile End Park Leisure Centre, Mile End",false,false,300027,
1392633480000,BikePoints_764,true,"St. John's Road, Clapham Junction",false,false,200185,
1392986940000,BikePoints_765,true,"Ranelagh Gardens, Fulham",false,false,300064,
1392894840000,BikePoints_766,true,"Ram Street, Wandsworth",false,false,200079,
1393406280000,BikePoints_767,true,"Santos Road, Wandsworth",false,false,200177,
1393494060000,BikePoints_768,true,"Clapham Common North Side, Clapham Common",false,false,300065,
1393939560000,BikePoints_769,true,"Sandilands Road, Walham Green",false,false,300001,
1394099280000,BikePoints_770,true,"Gwendwr Road, West Kensington",false,false,300097,
1394018400000,BikePoints_771,true,"Rifle Place, Avondale",false,false,300007,
1396442100000,BikePoints_772,true,"Binfield Road, Stockwell",false,false,300015,
1396262520000,BikePoints_773,true,"Tallis Street, Temple",false,false,300096,
1396265880000,BikePoints_774,true,"Hurlingham Park, Parsons Green",false,false,300098,
1396270320000,BikePoints_775,true,"Little Brook Green, Brook Green",false,false,300101,
1396273320000,BikePoints_776,true,"Abyssinia Close, Clapham Junction",false,false,300099,
1406282940000,BikePoints_777,true,"Limburg Road, Clapham Junction",false,false,300100,
1435313700000,BikePoints_779,true,"Houndsditch, Aldgate",false,false,200072,
1439455200000,BikePoints_780,true,"Imperial Wharf Station, Sands End",false,false,300070,
1279026060000,BikePoints_85,true,"Tanner Street, Bermondsey",false,false,000994,
1279027140000,BikePoints_86,true,"Sancroft Street, Vauxhall",false,false,003434,
1279027680000,BikePoints_87,true,"Devonshire Square, Liverpool Street",false,false,003438,
1279028280000,BikePoints_88,true,"Bayley Street , Bloomsbury",false,false,001006,
1279029360000,BikePoints_89,true,"Tavistock Place, Bloomsbury",false,false,003439,
1279030020000,BikePoints_90,true,"Harrington Square 1, Camden Town",false,false,001038,
1279036740000,BikePoints_91,true,"Walnut Tree Walk, Vauxhall",false,false,001076,
1279037040000,BikePoints_92,true,"Borough Road, Elephant & Castle",false,false,001082,
1279037760000,BikePoints_93,true,"Cloudesley Road, Angel",false,false,002586,
1279038420000,BikePoints_94,true,"Bricklayers Arms, Borough",false,false,001070,
1279096980000,BikePoints_96,true,"Falkirk Street, Hoxton",false,false,001047,
1279097580000,BikePoints_97,true,"Gloucester Road (North), Kensington",false,false,003447,
1279099080000,BikePoints_98,true,"Hampstead Road, Euston",false,false,000972,
1279099680000,BikePoints_99,true,"Old Quebec Street, Marylebone",false,false,001085,
1279099860000,BikePoints_100,true,"Albert Embankment, Vauxhall",false,false,001059,
1279102680000,BikePoints_101,true,"Queen Street 1, Bank",false,false,000999,
1279102860000,BikePoints_102,true,"Jewry Street, Aldgate",false,false,001045,
1279103520000,BikePoints_103,true,"Vicarage Gate, Kensington",false,false,003441,
1279103760000,BikePoints_104,true,"Crosswall, Tower",false,false,000991,
1279105320000,BikePoints_105,true,"Westbourne Grove, Bayswater",false,false,001041,
1279106880000,BikePoints_106,true,"Woodstock Street, Mayfair",false,false,001042,
1279107480000,BikePoints_107,true,"Finsbury Leisure Centre, St. Luke's",false,false,001049,
1279107720000,BikePoints_108,true,"Abbey Orchard Street, Westminster",false,false,003429,
1279108320000,BikePoints_109,true,"Soho Square , Soho",false,false,001052,
1279108920000,BikePoints_110,true,"Wellington Road, St. John's Wood",false,false,001055,
1279109160000,BikePoints_111,true,"Park Lane , Hyde Park",false,false,001037,
1279116600000,BikePoints_113,true,"Gloucester Road (Central), South Kensington",false,false,003435,
1279119900000,BikePoints_114,true,"Park Road (Baker Street), The Regent's Park",false,false,001050,
1279120680000,BikePoints_115,true,"Braham Street, Aldgate",false,false,001062,
1279122360000,BikePoints_116,true,"Little Argyll Street, West End",false,false,000995,
1279124220000,BikePoints_117,true,"Lollard Street, Vauxhall",false,false,000998,
1279124520000,BikePoints_118,true,"Rochester Row, Westminster",false,false,003457,
1279124760000,BikePoints_119,true,"Bath Street, St. Luke's",false,false,000964,
1279187040000,BikePoints_120,true,"The Guildhall, Guildhall",false,false,001044,
1279189200000,BikePoints_121,true,"Baker Street, Marylebone",false,false,001086,
1279190040000,BikePoints_122,true,"Norton Folgate, Liverpool Street",false,false,001068,
1279191300000,BikePoints_123,true,"St. John Street, Finsbury",false,false,000992,
1279191540000,BikePoints_124,true,"Eaton Square, Belgravia",false,false,001069,
1279192200000,BikePoints_125,true,"Borough High Street, The Borough",false,false,000996,
1279193340000,BikePoints_126,true,"Museum of London, Barbican",false,false,001043,
1279193520000,BikePoints_127,true,"Wood Street, Guildhall",false,false,001063,
1279194060000,BikePoints_128,true,"Emperor's Gate, South Kensington",false,false,001116,
1279198500000,BikePoints_129,true,"Golden Square, Soho",false,false,003451,
1279198800000,BikePoints_130,true,"Tower Gardens , Tower",false,false,001071,
1279199280000,BikePoints_131,true,"Eversholt Street , Camden Town",false,false,001005,
1279199520000,BikePoints_132,true,"Bethnal Green Road, Shoreditch",false,false,000973,
1279200240000,BikePoints_133,true,"Derry Street, Kensington",false,false,003436,
1279200900000,BikePoints_134,true,"Wapping High Street, Wapping",false,false,001039,
1279201080000,BikePoints_135,true,"Clerkenwell Green, Clerkenwell",false,false,001053,
1279201200000,BikePoints_136,true,"Queen Victoria Street, St. Paul's",false,false,001048,
1279205220000,BikePoints_138,true,"Green Street, Mayfair",false,false,003464,
1279205460000,BikePoints_139,true,"Lambeth Road, Vauxhall",false,false,001078,
1279205580000,BikePoints_140,true,"Finsbury Square , Moorgate",false,false,001056,
1279210980000,BikePoints_141,true,"Chapel Place, Marylebone",false,false,001003,
1279211220000,BikePoints_142,true,"West Cromwell Road, Earl's Court",false,false,001001,
1279211400000,BikePoints_143,true,"Pont Street, Knightsbridge",false,false,001114,
1279211580000,BikePoints_144,true,"Kennington Cross, Kennington",false,false,001093,
1279212180000,BikePoints_145,true,"Ilchester Place, Kensington",false,false,001115,
1279212360000,BikePoints_146,true,"Vauxhall Bridge , Pimlico",false,false,001046,
,BikePoints_148,true,"Tachbrook Street, Victoria",false,false,000965,
1279215360000,BikePoints_149,true,"Kennington Road Post Office, Oval",false,false,001073,
1279215540000,BikePoints_150,true,"Holy Trinity Brompton, Knightsbridge",false,false,001002,
