place_id,removal_date,locked,common_name,terminal_name,install_date,temporary,installed
BikePoints_92,,false,"Borough Road, Elephant & Castle",001082,1279037040000,false,true
BikePoints_93,,false,"Cloudesley Road, Angel",002586,1279037760000,false,true
BikePoints_94,,false,"Bricklayers Arms, Borough",001070,1279038420000,false,true
BikePoints_96,,false,"Falkirk Street, Hoxton",001047,1279096980000,false,true
BikePoints_97,,false,"Gloucester Road (North), Kensington",003447,1279097580000,false,true
BikePoints_98,,false,"Hampstead Road, Euston",000972,1279099080000,false,true
BikePoints_99,,false,"Old Quebec Street, Marylebone",001085,1279099680000,false,true
BikePoints_100,,false,"Albert Embankment, Vauxhall",001059,1279099860000,false,true
BikePoints_101,,false,"Queen Street 1, Bank",000999,1279102680000,false,true
BikePoints_102,,false,"Jewry Street, Aldgate",001045,1279102860000,false,true
BikePoints_103,,false,"Vicarage Gate, Kensington",003441,1279103520000,false,true
BikePoints_104,,false,"Crosswall, Tower",000991,1279103760000,false,true
BikePoints_105,,false,"Westbourne Grove, Bayswater",001041,1279105320000,false,true
BikePoints_106,,false,"Woodstock Street, Mayfair",001042,1279106880000,false,true
BikePoints_107,,false,"Finsbury Leisure Centre, St. Luke's",001049,1279107480000,false,true
BikePoints_108,,false,"Abbey Orchard Street, Westminster",003429,1279107720000,false,true
BikePoints_109,,false,"Soho Square , Soho",001052,1279108320000,false,true
BikePoints_110,,false,"Wellington Road, St. John's Wood",001055,1279108920000,false,true
BikePoints_111,,false,"Park Lane , Hyde Park",001037,1279109160000,false,true
BikePoints_113,,false,"Gloucester Road (Central), South Kensington",003435,1279116600000,false,true
BikePoints_114,,false,"Park Road (Baker Street), The Regent's Park",001050,1279119900000,false,true
BikePoints_115,,false,"Braham Street, Aldgate",001062,1279120680000,false,true
BikePoints_116,,false,"Little Argyll Street, West End",000995,1279122360000,false,true
BikePoints_117,,false,"Lollard Street, Vauxhall",000998,1279124220000,false,true
BikePoints_118,,false,"Rochester Row, Westminster",003457,1279124520000,false,true
BikePoints_119,,false,"Bath Street, St. Luke's",000964,1279124760000,false,true
BikePoints_120,,false,"The Guildhall, Guildhall",001044,1279187040000,false,true
BikePoints_121,,false,"Baker Street, Marylebone",001086,1279189200000,false,true
BikePoints_122,,false,"Norton Folgate, Liverpool Street",001068,1279190040000,false,true
BikePoints_123,,false,"St. John Street, Finsbury",000992,1279191300000,false,true
BikePoints_124,,false,"Eaton Square, Belgravia",001069,1279191540000,false,true
BikePoints_125,,false,"Borough High Street, The Borough",000996,1279192200000,false,true
BikePoints_126,,false,"Museum of London, Barbican",001043,1279193340000,false,true
BikePoints_127,,false,"Wood Street, Guildhall",001063,1279193520000,false,true
BikePoints_128,,false,"Emperor's Gate, South Kensington",001116,1279194060000,false,true
BikePoints_129,,false,"Golden Square, Soho",003451,1279198500000,false,true
BikePoints_130,,false,"Tower Gardens , Tower",001071,1279198800000,false,true
