terminal_name,common_name,locked,removal_date,temporary,installed,place_id,install_date
000966,"New Kent Road, The Borough",false,,false,true,BikePoints_156,1279273080000
001094,"Wright's Lane, Kensington",false,,false,true,BikePoints_157,1279273200000
001113,"Trebovir Road, Earl's Court",false,,false,true,BikePoints_158,1279273320000
003458,"Waterloo Place, St. James's",false,,false,true,BikePoints_160,1279274280000
003478,"Guildhouse Street, Victoria",false,,false,true,BikePoints_161,1279286940000
001123,"Southampton Place, Holborn",false,,false,true,BikePoints_162,1279287120000
003461,"Sloane Avenue, Knightsbridge",false,,false,true,BikePoints_163,1279287300000
001178,"Cleveland Gardens, Bayswater",false,,false,true,BikePoints_164,1279287600000
002585,"Orsett Terrace, Bayswater",false,,false,true,BikePoints_165,1279287960000
001177,"Seville Street, Knightsbridge",false,,false,true,BikePoints_166,1279288140000
003465,"Eccleston Place, Victoria",false,,false,true,BikePoints_167,
003463,"Argyll Road, Kensington",false,,false,true,BikePoints_168,1279289400000
022169,"Wren Street, Holborn",false,,false,true,BikePoints_433,1323361560000
022170,"Kennington Station, Kennington",false,,false,true,BikePoints_435,1323346020000
022171,"Red Lion Street, Holborn",false,,false,true,BikePoints_436,1323350220000
200056,"Vauxhall Walk, Vauxhall",false,,false,true,BikePoints_437,1325746380000
200053,"Killick Street, King's Cross",false,,false,true,BikePoints_439,1325705460000
200032,"Kennington Oval, Oval",false,,false,true,BikePoints_440,1325708160000
200039,"Sail Street, Vauxhall",false,,false,true,BikePoints_441,1325711220000
200035,"Walmer Road, Avondale",false,,false,true,BikePoints_442,1325940420000
200033,"Philpot Street, Whitechapel",false,,false,true,BikePoints_443,1325941800000
200047,"Bethnal Green Garden, Bethnal Green",false,,false,true,BikePoints_444,1325944680000
200003,"Cheshire Street, Bethnal Green",false,,false,true,BikePoints_445,1325945820000
200042,"York Hall, Bethnal Green",false,,false,true,BikePoints_446,1325948880000
200054,"Jubilee Crescent, Cubitt Town",false,,false,true,BikePoints_447,1325949000000
022165,"Fisherman's Walk West, Canary Wharf",false,,false,true,BikePoints_448,1325952660000
200020,"Shadwell Station, Shadwell",false,,false,true,BikePoints_449,1325952900000
200002,"Jubilee Street, Stepney",false,,false,true,BikePoints_450,1326105240000
200021,"Hermitage Court, Wapping",false,,false,true,BikePoints_451,1325501400000
200049,"St. Katharine's Way, Tower",false,,false,true,BikePoints_452,1326109140000
200045,"Garnet Street, Shadwell",false,,false,true,BikePoints_453,1326111060000
200046,"Napier Avenue, Millwall",false,,false,true,BikePoints_454,1326115380000
200031,"East Ferry Road, Cubitt Town",false,,false,true,BikePoints_455,1326117780000
200118,"Parkway, Camden Town",false,,false,true,BikePoints_456,1326197580000
200016,"Castlehaven Road, Camden Town",false,,false,true,BikePoints_457,1326203280000
200034,"Wapping Lane, Wapping",false,,false,true,BikePoints_458,1326294780000
200014,"Gunmakers Lane, Old Ford",false,,false,true,BikePoints_459,
200123,"Burdett Road, Mile End",false,,false,true,BikePoints_460,1326284820000
